village_id,village,district,block,state,is_core_sample,latitude,longitude,ndbi_2021,ndbi_n_2021,lights_2021,lights_n_2021,ndbi_2023,ndbi_n_2023,lights_2023,lights_n_2023,ndbi_2025,ndbi_n_2025,lights_2025,lights_n_2025,ndbi_slope,ndbi_trend_r2,lights_slope,lights_trend_r2
59,Wallong,East Kameng,Khenewa,Arunachal Pradesh,True,27.6530641,92.9685879,-0.2965520014686305,146,0.2810124362298268,12,-0.2765888702186562,145,0.3570350760340956,12,-0.2878948939705262,171,0.2814541579222095,12,0.0021642768745260693,0.18695922927312641,0.00011043042309567819,2.5467649346352352e-05
60,Chate,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1191826,93.3236259,-0.3093562711158863,146,0.2997521489825179,12,-0.2811822781443042,143,0.2496343028431655,12,-0.2819469941938911,170,0.2517012666103949,12,0.00685231923049881,0.7290909099350807,-0.012012720593030752,0.7177950246072723
61,Chulla,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1242982,93.411274,-0.2950980919599092,146,0.317717026494939,12,-0.2744105598996395,143,0.258100340926123,12,-0.330492951078814,170,0.2460869967836672,12,-0.008848714779726194,0.38938919875408096,-0.01790750742781795,0.8716732803253052
62,Damin H.Q.,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1041982,93.3343841,-0.2346225647495889,146,0.3345670698079776,12,-0.268927132092694,143,0.4001932324573746,12,-0.2182567920966208,170,0.518063918769426,12,0.004091443163242024,0.10013590073090091,0.0458742122403621,0.97368982699503
63,Damin Village,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1050092,93.3443566,-0.2696502016831029,146,0.3024667340543477,12,-0.2745441765714299,143,0.2536566915969363,12,-0.3031189555337144,170,0.3288266801186517,12,-0.008367188462652872,0.8569894646041962,0.006589986516075993,0.11941965103712951
64,Digok,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1272533,93.3496878,-0.312290217938052,146,0.2913440874341598,12,-0.2581740903603823,143,0.2180348547533967,12,-0.3086894268668853,170,0.2138283255865365,12,0.0009001977677916828,0.0035403988590576915,-0.019378940461905823,0.7905737283305019
65,Fuba,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1198537,93.3376816,-0.3126713947377653,146,0.3263191350238739,12,-0.2596923619740108,143,0.2340564300794772,12,-0.292549574464132,170,0.1989545946097159,12,0.005030455068408324,0.14152747607505417,-0.031841135103539496,0.937084441062043
66,Huri,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1095105,93.3045975,-0.2520333258324064,146,0.3186487288903714,12,-0.2659261694441612,143,0.2364317376691678,12,-0.2613257571148171,170,0.2689520869482635,12,-0.002323107820602674,0.4309933406248432,-0.012424160485526968,0.36012906205618633
67,Katuk,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1189094,93.2501395,-0.2599523753519044,146,0.3309190618451191,12,-0.268675438299676,143,0.2727230806068509,12,-0.2224115273755341,170,0.2303687288401137,12,0.009385211994092577,0.5830432551682054,-0.02513758325125135,0.9917939740442095
68,Kopila,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1092251,93.3088818,-0.2349053186479653,146,0.3117225289011801,12,-0.2658944965596718,143,0.2505484117975448,12,-0.2612947514208544,170,0.2893454385036863,12,-0.006597358193222276,0.6225699464414237,-0.005594272599373437,0.13066684589398692
69,Machang,Kurung Kumey,Damin,Arunachal Pradesh,True,28.0962492,93.3005705,-0.2774861761354759,146,0.3141732141960885,12,-0.2725379074638004,143,0.2375159048539085,12,-0.2987694955802039,170,0.2431771439802231,12,-0.005320829861182,0.582954796585886,-0.01774901755396635,0.6905449934287435
70,Nisuk,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1081822,93.414929,-0.3227949736294852,146,0.3028135447867306,12,-0.2973402568690153,143,0.1965852773414468,12,-0.3170152336419661,170,0.2263503501007745,12,0.001444934996879782,0.04689780931192222,-0.019115798671489027,0.48675796667848764
71,Pipa,Kurung Kumey,Damin,Arunachal Pradesh,True,28.0735847,93.283149,-0.2505297158385532,146,0.315631932965139,12,-0.2678103698932089,143,0.3252226542805357,12,-0.2633224085896791,169,0.2390521038034538,12,-0.003198173187781469,0.5088545758915661,-0.019144957290421295,0.6573626024709517
72,Ramu,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1084035,93.4191096,-0.3133517153272779,146,0.2986376304406833,12,-0.2982038134920503,143,0.2050425490647653,12,-0.2940238173502608,170,0.2421605579728688,12,0.004831974494254279,0.9030659458542631,-0.014119268116953623,0.3589952441466354
73,Rane,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1440384,93.3476122,-0.2863302672560388,146,0.3037658099949892,12,-0.260662762725979,143,0.3187016383079546,12,-0.2948773998557647,170,0.2484970155471403,12,-0.002136783149931487,0.05759753567970851,-0.013817198611962227,0.5583392450294139
74,Rawiok,Kurung Kumey,Damin,Arunachal Pradesh,True,28.137739,93.3249207,-0.2899679379898205,146,0.3295232690535151,12,-0.2410726638320267,143,0.3029795450301051,12,-0.2875081096108332,170,0.2183586723834008,12,0.0006149570947468347,0.001993418707317098,-0.027791149167528575,0.9166052582291263
75,Ruba,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1221707,93.2334312,-0.2842537578997967,146,0.327017442520318,12,-0.2551037995589614,143,0.2468077197073563,12,-0.289973720975044,170,0.2005363779768912,12,-0.0014299907688118257,0.02338836648133731,-0.0316202661358567,0.9765625673050895
76,Senamriang,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1320477,93.3191302,-0.2786381070946745,146,0.330159216486542,12,-0.2682943289967062,143,0.2336955294762243,12,-0.2718026232690558,170,0.2151368730394534,12,0.001708870956404679,0.42213797704310557,-0.028755585861772154,0.867367893033309
77,Sibia,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1070207,93.3012679,-0.2732466895593927,146,0.3273470572157617,12,-0.2698703427694879,143,0.2264988836112356,12,-0.2884595502331687,170,0.2792556508132427,12,-0.003803215168444007,0.5899947324758589,-0.012022851600629741,0.22724230198373802
