village_id,village,district,block,state,is_core_sample,latitude,longitude
135,Rho,Tawang,Jang-Thingbu,Arunachal Pradesh,True,27.6141065,91.987227
136,Kitpi,Tawang,Kitpi,Arunachal Pradesh,True,27.5731189,91.90284
137,Kitpi II,Tawang,Kitpi,Arunachal Pradesh,True,27.5731189,91.90284
138,Famla,Tawang,Tawang,Arunachal Pradesh,True,27.5612427,91.8523298
139,Gyangong Ani Gompa,Tawang,Tawang,Arunachal Pradesh,True,27.6003059,91.8525209
140,Jangda,Tawang,Tawang,Arunachal Pradesh,True,27.5942319,91.9742379
141,Mandrelling,Tawang,Tawang,Arunachal Pradesh,True,27.5952914,91.8697249
142,Sakpret,Tawang,Tawang,Arunachal Pradesh,True,27.57568,91.79901
143,Shyro,Tawang,Tawang,Arunachal Pradesh,True,27.5744459,91.9464757
144,Singsore Ani Gompa,Tawang,Tawang,Arunachal Pradesh,True,27.5952914,91.8697249
145,Tawang Gompa,Tawang,Tawang,Arunachal Pradesh,True,27.5866091,91.8573902
146,Thongleng,Tawang,Tawang,Arunachal Pradesh,True,27.57294,91.79215
147,Brokenthang,Tawang,Zemithang-Dudunghar,Arunachal Pradesh,True,27.7352592,91.724121
148,Gorsam,Tawang,Zemithang-Dudunghar,Arunachal Pradesh,True,27.6973252,91.7142454
149,Kharman,Tawang,Zemithang-Dudunghar,Arunachal Pradesh,True,27.691851,91.7463062
150,Lumpo,Tawang,Zemithang-Dudunghar,Arunachal Pradesh,True,27.7204821,91.7144005
151,Maling,Tawang,Zemithang-Dudunghar,Arunachal Pradesh,True,27.6350823,92.0693622
152,Muktur,Tawang,Zemithang-Dudunghar,Arunachal Pradesh,True,27.5800562,91.6627629
153,Ramyang,Tawang,Zemithang-Dudunghar,Arunachal Pradesh,True,27.514701,91.6549664
154,Shakti,Tawang,Zemithang-Dudunghar,Arunachal Pradesh,True,27.61139,91.71387
155,Shoktsen,Tawang,Zemithang-Dudunghar,Arunachal Pradesh,True,27.7416556,91.7318533
156,Sirdi,Tawang,Zemithang-Dudunghar,Arunachal Pradesh,True,27.6466524,91.7230296
157,Bishing,Upper Siang,Singa-Gelling,Arunachal Pradesh,True,29.1107736,95.0268102
158,Bona,Upper Siang,Singa-Gelling,Arunachal Pradesh,True,29.0974164,94.9475348
159,Mankota,Upper Siang,Singa-Gelling,Arunachal Pradesh,True,28.8878329,95.0759463
160,Mayum,Upper Siang,Singa-Gelling,Arunachal Pradesh,True,29.0924208,94.9597907
161,Tashi Gaon,Upper Siang,Singa-Gelling,Arunachal Pradesh,True,28.8743385,95.1028336
162,Jido,Upper Siang,Tuting,Arunachal Pradesh,True,28.9820594,94.904882
163,Lali,Upper Siang,Tuting,Arunachal Pradesh,True,29.0003932,94.8912175
164,Ngaming,Upper Siang,Tuting,Arunachal Pradesh,True,28.9686342,94.9381419
165,Nyering,Upper Siang,Tuting,Arunachal Pradesh,True,28.9360701,95.0104597
166,Pango,Upper Siang,Tuting,Arunachal Pradesh,True,28.8870297,94.7578559
167,Pekong,Upper Siang,Tuting,Arunachal Pradesh,True,28.9878787,94.8919255
168,Pekong,Upper Siang,Tuting,Arunachal Pradesh,True,28.9878787,94.8919255
169,Pokbir,Upper Siang,Tuting,Arunachal Pradesh,True,28.963981,94.9375517
170,Rishing,Upper Siang,Tuting,Arunachal Pradesh,True,28.9984023,94.8852907
171,Tenggo,Upper Siang,Tuting,Arunachal Pradesh,True,29.0668244,94.478654
172,Dadu,Upper Subansiri,Limeking,Arunachal Pradesh,True,28.3625828,93.5395735
173,Gumsing,Upper Subansiri,Limeking,Arunachal Pradesh,True,28.4321817,93.2172532
174,Lingbing,Upper Subansiri,Limeking,Arunachal Pradesh,True,28.4367283,93.2151175
175,Redding,Upper Subansiri,Limeking,Arunachal Pradesh,True,28.4851077,93.4621565
176,Redding Camp,Upper Subansiri,Limeking,Arunachal Pradesh,True,28.4851077,93.4621565
177,Taying,Upper Subansiri,Limeking,Arunachal Pradesh,True,28.4321817,93.2172532
178,Yaja,Upper Subansiri,Limeking,Arunachal Pradesh,True,28.4354329,93.2468461
179,Chokar,Upper Subansiri,Nacho,Arunachal Pradesh,True,28.4279157,93.8094041
180,Jerigaon,West Kameng,Nafra,Arunachal Pradesh,True,27.3403204,92.4726477
181,Khellong,West Kameng,Nafra,Arunachal Pradesh,True,27.0133852,92.4145185
182,Gatam,Kra daadi,Pipsorang,Arunachal Pradesh,True,28.0979458,93.6001405
183,Habak,Kra daadi,Pipsorang,Arunachal Pradesh,True,28.1084846,93.5827385
184,Hapuk (I),Kra daadi,Pipsorang,Arunachal Pradesh,True,28.0967863,93.5839299
185,Kokso,Kra daadi,Pipsorang,Arunachal Pradesh,True,28.0838152,93.6115937
186,Richik,Kra daadi,Pipsorang,Arunachal Pradesh,True,28.064816,93.6543383
187,Chungthang,North,Chungthang,Sikkim,True,27.604236,88.6465196
188,Tung,North,Chungthang,Sikkim,True,27.5475,88.6493
189,Chawang,North,Kabi Tingda,Sikkim,True,27.4415,88.5992
190,Labi,North,Kabi Tingda,Sikkim,True,27.4373,88.6584
191,Paney-Phensong,North,Kabi Tingda,Sikkim,True,27.4340487,88.6127695
192,Phamtam,North,Kabi Tingda,Sikkim,True,27.4557,88.61
193,Phodong,North,Kabi Tingda,Sikkim,True,27.4130306,88.5838702
