village_id,village,district,block,state,is_core_sample,latitude,longitude,built_2019,built_2019_image_count
168,Pekong,Upper Siang,Tuting,Arunachal Pradesh,True,28.9878787,94.8919255,0.255134939449541,7
169,Pokbir,Upper Siang,Tuting,Arunachal Pradesh,True,28.963981,94.9375517,0.06023228633251466,7
170,Rishing,Upper Siang,Tuting,Arunachal Pradesh,True,28.9984023,94.8852907,0.2406638815769287,7
171,Tenggo,Upper Siang,Tuting,Arunachal Pradesh,True,29.0668244,94.478654,0.03418815632827373,7
172,Dadu,Upper Subansiri,Limeking,Arunachal Pradesh,True,28.3625828,93.5395735,0.04367728444087025,10
173,Gumsing,Upper Subansiri,Limeking,Arunachal Pradesh,True,28.4321817,93.2172532,0.044018086795067315,10
174,Lingbing,Upper Subansiri,Limeking,Arunachal Pradesh,True,28.4367283,93.2151175,0.037680401498847604,10
175,Redding,Upper Subansiri,Limeking,Arunachal Pradesh,True,28.4851077,93.4621565,0.04286116284278997,10
176,Redding Camp,Upper Subansiri,Limeking,Arunachal Pradesh,True,28.4851077,93.4621565,0.04286116284278997,10
177,Taying,Upper Subansiri,Limeking,Arunachal Pradesh,True,28.4321817,93.2172532,0.044018086795067315,10
178,Yaja,Upper Subansiri,Limeking,Arunachal Pradesh,True,28.4354329,93.2468461,0.032996651702424315,10
179,Chokar,Upper Subansiri,Nacho,Arunachal Pradesh,True,28.4279157,93.8094041,0.03450147434222666,5
180,Jerigaon,West Kameng,Nafra,Arunachal Pradesh,True,27.3403204,92.4726477,0.12584873276587766,12
181,Khellong,West Kameng,Nafra,Arunachal Pradesh,True,27.0133852,92.4145185,0.03490773414365042,57
182,Gatam,Kra daadi,Pipsorang,Arunachal Pradesh,True,28.0979458,93.6001405,0.032383386837578784,10
183,Habak,Kra daadi,Pipsorang,Arunachal Pradesh,True,28.1084846,93.5827385,0.033019681151648494,10
184,Hapuk (I),Kra daadi,Pipsorang,Arunachal Pradesh,True,28.0967863,93.5839299,0.034775499552601494,10
185,Kokso,Kra daadi,Pipsorang,Arunachal Pradesh,True,28.0838152,93.6115937,0.0326573659222906,10
186,Richik,Kra daadi,Pipsorang,Arunachal Pradesh,True,28.064816,93.6543383,0.03441989534142224,10
187,Chungthang,North,Chungthang,Sikkim,True,27.604236,88.6465196,0.19564667133765434,3
188,Tung,North,Chungthang,Sikkim,True,27.5475,88.6493,0.04064034881711355,3
189,Chawang,North,Kabi Tingda,Sikkim,True,27.4415,88.5992,0.04534679142024172,3
190,Labi,North,Kabi Tingda,Sikkim,True,27.4373,88.6584,0.03025515582964846,3
191,Paney-Phensong,North,Kabi Tingda,Sikkim,True,27.4340487,88.6127695,0.07680375379930396,3
192,Phamtam,North,Kabi Tingda,Sikkim,True,27.4557,88.61,0.034811881439629586,3
193,Phodong,North,Kabi Tingda,Sikkim,True,27.4130306,88.5838702,0.09941636556949186,3
194,Ramthang,North,Kabi Tingda,Sikkim,True,27.4039854,88.550947,0.0636511949442552,3
195,Rongong,North,Kabi Tingda,Sikkim,True,27.4092,88.5635,0.04197813255846731,3
196,Tangyek,North,Kabi Tingda,Sikkim,True,27.4207,88.527,0.08896904092210355,3
197,Tingchim,North,Kabi Tingda,Sikkim,True,27.4607586,88.5277316,0.08045560102725566,3
198,Tingda,North,Kabi Tingda,Sikkim,True,27.3957,88.6272,0.07338862360410625,3
199,Tumlong,North,Kabi Tingda,Sikkim,True,27.4198712,88.5898311,0.10776041424125613,3
200,Lachen,North,Lachen,Sikkim,True,27.7305455,88.5469054,0.1751078006261342,3
201,Lachung,North,Lachung,Sikkim,True,27.7794,88.7152648,0.04010412883523021,3
202,Barfok,North,Passingdang,Sikkim,True,27.4977,88.491,0.03438050294594773,3
203,Gor,North,Passingdang,Sikkim,True,27.4302826,88.4984203,0.06149216269973519,3
204,Hee-Gyathang,North,Passingdang,Sikkim,True,27.4816,88.4991,0.03226385776613731,3
205,Lingdem,North,Passingdang,Sikkim,True,27.5494817,88.4569319,0.04985664429241296,3
206,Lingdong,North,Passingdang,Sikkim,True,27.5073091,88.5194632,0.07692997462304167,3
207,Lingthem,North,Passingdang,Sikkim,True,27.5224732,88.5014686,0.06049528249349912,3
208,Lingzah-Tolung,North,Passingdang,Sikkim,True,27.571,88.4466,0.03094701761935633,3
209,Lum,North,Passingdang,Sikkim,True,27.394,88.48,0.03792888710973434,3
210,Namok,North,Passingdang,Sikkim,True,27.4504654,88.5375829,0.04698037679676068,3
211,Sakyong-Pentong,North,Passingdang,Sikkim,True,27.5797,88.4049,0.03329640080363206,3
212,Salim Pakel,North,Passingdang,Sikkim,True,27.5379,88.5518,0.040544051877235227,3
213,Sangtok,North,Passingdang,Sikkim,True,27.4091,88.504,0.04026724572548871,3
214,Sheyam,North,Passingdang,Sikkim,True,27.4367,88.528,0.10776756836709467,3
215,Shipgyer,North,Passingdang,Sikkim,True,27.5544461,88.6336147,0.06501941321439765,3
216,Tingbong,North,Passingdang,Sikkim,True,27.5524,88.4984,0.033280340987302995,3
217,Zimchung,North,Passingdang,Sikkim,True,27.4903,88.5321,0.15804564939701854,3
218,Bampa,Chamoli,Joshimath,Uttarakhand,True,30.7436664,79.8297153,0.05162045382107234,2
219,Gamsali,Chamoli,Joshimath,Uttarakhand,True,30.7559986,79.8261873,0.037834357440027666,2
220,Gurguti,Chamoli,Joshimath,Uttarakhand,True,30.7738,79.8758,,2
221,Joshimath,Chamoli,Joshimath,Uttarakhand,True,30.5555752,79.5612607,0.5318334383728079,28
222,Kailashpur,Chamoli,Joshimath,Uttarakhand,True,30.7148,79.8639,0.03273280328364252,30
223,Mahargaon,Chamoli,Joshimath,Uttarakhand,True,30.4061118,79.4205814,0.09010989634275948,29
224,Malari,Chamoli,Joshimath,Uttarakhand,True,30.6845508,79.8893688,,30
225,Mana,Chamoli,Joshimath,Uttarakhand,True,30.9671228,79.4109692,0.058470722159232325,2
226,Bilju,Pithoragarh,Munsyari,Uttarakhand,True,30.3949398,80.1659059,0.038248820406783374,4
227,Burphu,Pithoragarh,Munsyari,Uttarakhand,True,30.3666548,80.1842308,0.04125177827346976,4
228,Martoli,Pithoragarh,Munsyari,Uttarakhand,True,30.3482498,80.1931552,0.05890529214558813,4
229,Rilkot,Pithoragarh,Munsyari,Uttarakhand,True,30.3104468,80.2080315,0.03967716214259713,4
230,Tola,Pithoragarh,Munsyari,Uttarakhand,True,30.3356863,80.2121168,0.04157394133684561,4
231,Baling,Pithoragarh,Dharchula or Kanalichhina (unresolved),Uttarakhand,True,30.2092254,80.5479905,0.04374891207693589,4
232,Dar,Pithoragarh,Dharchula or Kanalichhina (unresolved),Uttarakhand,True,30.069216,80.602947,0.0853971353949546,4
233,Dugtu,Pithoragarh,Dharchula or Kanalichhina (unresolved),Uttarakhand,True,30.21,80.5679,0.036025442980734186,4
234,Garbyang,Pithoragarh,Dharchula or Kanalichhina (unresolved),Uttarakhand,True,30.1251387,80.8575277,0.0571227196493891,7
235,Gunji,Pithoragarh,Dharchula or Kanalichhina (unresolved),Uttarakhand,True,30.1865763,80.8508108,0.05536611086974436,7
236,Kuti,Pithoragarh,Dharchula or Kanalichhina (unresolved),Uttarakhand,True,30.3078792,80.7599224,0.06104328554321584,7
237,Navi,Pithoragarh,Dharchula or Kanalichhina (unresolved),Uttarakhand,True,30.2049725,80.8373063,0.0606427571772146,7
238,Rongkong (Raung Kong),Pithoragarh,Dharchula or Kanalichhina (unresolved),Uttarakhand,True,30.2033451,80.8316381,0.043922356674239806,7
239,Sela,Pithoragarh,Dharchula or Kanalichhina (unresolved),Uttarakhand,True,30.1472581,80.6056591,0.04820320258124989,4
240,Tidang,Pithoragarh,Dharchula or Kanalichhina (unresolved),Uttarakhand,True,30.246,80.5487,0.06419915520644966,4
241,Amali,Pithoragarh,Dharchula or Kanalichhina (unresolved),Uttarakhand,True,29.7039,80.3278,0.045628508362155415,39
242,Bagori,Uttarkashi,Bhatwari,Uttarakhand,True,30.7702443,78.4746317,0.034901363561987205,11
243,Dharali,Uttarkashi,Bhatwari,Uttarakhand,True,31.0408468,78.7815312,0.12748705930715984,11
244,Harshil,Uttarkashi,Bhatwari,Uttarakhand,True,31.0350501,78.7572289,0.06585098227776923,11
245,Jadung,Uttarkashi,Bhatwari,Uttarakhand,True,31.1648,79.0397,0.03283442879842144,3
