village_id,village,district,block,state,is_core_sample,latitude,longitude,ndbi_2021,ndbi_n_2021,lights_2021,lights_n_2021,ndbi_2023,ndbi_n_2023,lights_2023,lights_n_2023,ndbi_2025,ndbi_n_2025,lights_2025,lights_n_2025
87,Chote,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.9524396,93.2616596,-0.28669253361045766,98,0.3604297795322503,4,-0.253770730641322,98,0.2454325841718845,4,-0.26642007672745055,121,0.48033144942830114,4
88,Kiodhriang,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.8581693,93.2541827,-0.26109258118860074,49,0.40596719049085855,4,-0.24941234735275045,49,0.18723699148761203,4,-0.26774467251070716,61,0.3201300876712368,4
89,Nangram,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.9071735,93.4387839,-0.26800326086837073,25,0.3505685643574333,4,-0.22494620153670827,25,0.22044035641179568,4,-0.2261800702097985,30,0.26045986639549634,4
90,Nyolo,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.9012651,93.3076219,-0.2821413498401846,49,0.3845540592436541,4,-0.23342856252852806,49,0.3112764708456918,4,-0.2681740479214286,61,0.4004264146986614,4
91,Pakba,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.8903622,93.3997806,-0.28203611104533455,39,0.35298002182974264,4,-0.2777040219703202,26,0.12321864608489183,4,-0.2603955298948192,35,0.33432852226277426,4
92,Papu,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.9111524,93.3917445,-0.25607036677044154,49,0.4210777807897991,4,-0.27841689824516974,48,0.3077083253529337,4,-0.24191198778793327,57,0.37191943734884264,4
93,Rengchi,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.8914093,93.4267781,-0.2617095949180829,25,0.2829542921538337,4,-0.26641420376688996,25,0.38145764017583533,4,-0.2381202542297689,30,0.2588684495741973,4
94,Tate,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.9539309,93.2699171,-0.3110107152020048,98,0.41959534648252433,4,-0.257392137156742,98,0.2534645203740528,4,-0.28448814075466755,121,0.44356707286940444,4
95,Yumlam,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.8897958,93.4560068,-0.24702749303020988,25,0.40909999344084,4,-0.1869889687298057,25,0.31876389294862745,4,-0.24428405775725343,30,0.27568332966831,4
96,Cheba,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.0204954,93.4801015,-0.24450570571264804,50,0.38400504544310515,4,-0.1962531763206775,50,0.15000280051287512,4,-0.2248234514166438,60,0.3630577381282644,4
