village_id,village,district,block,state,is_core_sample,latitude,longitude,distance_to_border_km,village_source,district_verified,building_count,building_total_area_m2,building_mean_confidence
52,Nenuliang,Anjaw,Unknown,Arunachal Pradesh,True,28.0695914,96.5025516,36.47740878026867,control (non-VVP),True,44,6849.057958602905,0.8289772759784352
53,Khupa Township,Anjaw,Unknown,Arunachal Pradesh,True,28.0654038,96.4926664,36.669653927690405,control (non-VVP),True,622,83977.61426353455,0.8337472677230835
54,Amliang,Anjaw,Unknown,Arunachal Pradesh,True,28.0586788,96.4688356,36.772239821896335,control (non-VVP),True,124,15919.352105140686,0.8221048414707184
55,Mompani,Anjaw,Unknown,Arunachal Pradesh,True,28.0513007,96.4415599,36.90022530314944,control (non-VVP),True,36,4630.7052364349365,0.8058222168021731
56,Langjon,Anjaw,Unknown,Arunachal Pradesh,True,28.053427,96.4586965,37.07185575220221,control (non-VVP),True,48,4161.262548446655,0.809529167910417
57,Thamptong 266699,Anjaw,Unknown,Arunachal Pradesh,True,28.0678982,96.519264,37.09174843787751,control (non-VVP),True,0,0.0,
58,Talang,Anjaw,Unknown,Arunachal Pradesh,True,28.0840788,96.5820921,37.17372787408739,control (non-VVP),True,2,35.053199768066406,0.7865999937057495
59,Mahikong,Anjaw,Unknown,Arunachal Pradesh,True,28.0544424,96.4828253,37.58834433224498,control (non-VVP),True,46,5026.993011474609,0.8298565252967502
60,Tepang,Anjaw,Unknown,Arunachal Pradesh,True,27.9688421,96.7188848,37.9259149195321,control (non-VVP),True,24,3010.5545959472656,0.8245416680971781
61,Blom,Anjaw,Unknown,Arunachal Pradesh,True,28.0783604,96.5876028,37.96428159431192,control (non-VVP),True,6,437.95938873291016,0.7947666645050049
62,布拉母哈岗,Anjaw,Unknown,Arunachal Pradesh,True,28.0669816,96.5559722,38.103619818542384,control (non-VVP),True,40,7177.409744262695,0.8288800090551376
63,Kamba,Anjaw,Unknown,Arunachal Pradesh,True,28.0665856,96.5608784,38.29061279666109,control (non-VVP),True,20,2706.479377746582,0.8268100023269653
