village_id,village,district,block,state,is_core_sample,latitude,longitude,ndbi_2019,lights_2019,ndbi_2019_image_count,lights_2019_image_count
105,Pape,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.0129617,93.4902587,-0.2323101633588924,0.1843710675686763,144.0,12.0
106,Pariang,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.0328165,93.4803814,-0.2706606888509161,0.177019264377595,72.0,12.0
107,Passik,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.0360017,93.4705453,-0.2354744493273755,0.1696501488243551,72.0,12.0
108,Pilop,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.004125,93.5674707,-0.2332831814754062,0.1060812621465905,144.0,12.0
109,Rashik,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.0080613,93.5508476,-0.2757263287354175,0.137349508921395,144.0,12.0
110,Yarba-I,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,27.96349,93.5654022,-0.2437249953253676,0.1618678452630639,144.0,12.0
111,Bala,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9431025,93.1252507,-0.3134957291544656,0.2410187237089017,297.0,12.0
112,Chaching,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9375989,93.2339474,-0.3132099942679018,0.2192230237164677,297.0,12.0
113,Chulu,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.8792111,93.0545229,-0.2843481634547131,0.2021300430997759,300.0,12.0
114,Gane,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9643147,93.0391329,-0.2762124696248852,0.2348125225815113,597.0,12.0
115,Haraiho,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9804475,93.1383943,-0.2847465003065581,0.2221275574002185,297.0,12.0
116,Kapu,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.8879985,93.075251,-0.2392107855085023,0.2466396021782885,300.0,12.0
117,Koropu,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9899045,93.2023371,-0.2940750764464911,0.2133952358080912,294.0,12.0
118,Machane,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9220981,93.0770012,-0.3142335498727513,0.24139045346319,300.0,12.0
119,Malo,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9563848,93.1153543,-0.276451311216043,0.2472209740249522,297.0,12.0
120,Milli,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9506354,93.0574678,-0.2696130701718296,0.2319444460173448,597.0,12.0
121,Namjo,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.942996,93.1849686,-0.3206485489351471,0.2075215102278958,297.0,12.0
122,New Sarli,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9582217,93.1705235,-0.2657108028960527,0.2534421469816671,297.0,12.0
123,Riya,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.8776779,93.0467319,-0.286119449380748,0.2144367134152913,300.0,12.0
124,Sape,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9549291,93.1321419,-0.3034785385521885,0.2352925934559768,297.0,12.0
125,Sarli,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9525582,93.163373,-0.2061051482222217,0.3602892854579485,297.0,12.0
126,Sate,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9537376,93.1572444,-0.2156325504247471,0.2918868456928759,297.0,12.0
127,Wabia,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9413919,93.1360402,-0.2925735338334285,0.2239425210115899,297.0,12.0
128,Walu,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9413919,93.1360402,-0.2925735338334285,0.2239425210115899,297.0,12.0
129,Waru,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.8852647,93.0448126,-0.2756570228503581,0.1995930869875677,300.0,12.0
130,Chanli,Lower Dibang,Hunli-Desali,Arunachal Pradesh,True,28.2923493,96.0296242,-0.2316767654729841,0.1770537713348469,256.0,12.0
131,Broxer,Tawang,Jang-Thingbu,Arunachal Pradesh,True,27.622647,91.9631993,-0.1056972719677159,0.2655796269575755,74.0,12.0
132,Luguthang,Tawang,Jang-Thingbu,Arunachal Pradesh,True,27.5948234,92.1857466,0.0321901630069269,0.1892109749105451,74.0,12.0
133,Mago,Tawang,Jang-Thingbu,Arunachal Pradesh,True,27.6883395,92.2081099,-0.0528241718688896,0.2234796311954657,74.0,12.0
134,Namazing,Tawang,Jang-Thingbu,Arunachal Pradesh,True,27.5506261,91.9768197,-0.0976918716048341,0.2491498499975076,73.0,12.0
135,Rho,Tawang,Jang-Thingbu,Arunachal Pradesh,True,27.6141065,91.987227,-0.039154241201228,0.2404338511967473,148.0,12.0
136,Kitpi,Tawang,Kitpi,Arunachal Pradesh,True,27.5731189,91.90284,-0.0188680061346556,0.7210109672243041,73.0,12.0
137,Kitpi II,Tawang,Kitpi,Arunachal Pradesh,True,27.5731189,91.90284,-0.0188680061346556,0.7210109672243041,73.0,12.0
138,Famla,Tawang,Tawang,Arunachal Pradesh,True,27.5612427,91.8523298,-0.0237695694355791,0.602214110313304,73.0,12.0
139,Gyangong Ani Gompa,Tawang,Tawang,Arunachal Pradesh,True,27.6003059,91.8525209,-0.0325708302975363,0.3056333784812263,73.0,12.0
140,Jangda,Tawang,Tawang,Arunachal Pradesh,True,27.5942319,91.9742379,-0.0315675428207425,0.276658207077205,73.0,12.0
141,Mandrelling,Tawang,Tawang,Arunachal Pradesh,True,27.5952914,91.8697249,0.1036646647921133,1.9356616147421508,73.0,12.0
142,Sakpret,Tawang,Tawang,Arunachal Pradesh,True,27.57568,91.79901,-0.0592649238278838,0.2672137810873824,73.0,12.0
143,Shyro,Tawang,Tawang,Arunachal Pradesh,True,27.5744459,91.9464757,-0.0625513884004891,0.398799192334602,73.0,12.0
144,Singsore Ani Gompa,Tawang,Tawang,Arunachal Pradesh,True,27.5952914,91.8697249,0.1036646647921133,1.9356616147421508,73.0,12.0
145,Tawang Gompa,Tawang,Tawang,Arunachal Pradesh,True,27.5866091,91.8573902,-0.0676134796648745,0.6658407810942403,73.0,12.0
146,Thongleng,Tawang,Tawang,Arunachal Pradesh,True,27.57294,91.79215,-0.0979234657653704,0.2339909289733353,73.0,12.0
147,Brokenthang,Tawang,Zemithang-Dudunghar,Arunachal Pradesh,True,27.7352592,91.724121,-0.0185553727846832,0.2404424447746459,74.0,12.0
148,Gorsam,Tawang,Zemithang-Dudunghar,Arunachal Pradesh,True,27.6973252,91.7142454,-0.0736160175131199,0.3342046720432625,74.0,12.0
149,Kharman,Tawang,Zemithang-Dudunghar,Arunachal Pradesh,True,27.691851,91.7463062,0.0359563490842925,0.2184824760528218,74.0,12.0
150,Lumpo,Tawang,Zemithang-Dudunghar,Arunachal Pradesh,True,27.7204821,91.7144005,-0.0604072538440065,0.2608752741209612,74.0,12.0
151,Maling,Tawang,Zemithang-Dudunghar,Arunachal Pradesh,True,27.6350823,92.0693622,-0.1091483696355411,0.2210876051095917,148.0,12.0
152,Muktur,Tawang,Zemithang-Dudunghar,Arunachal Pradesh,True,27.5800562,91.6627629,-0.0429080369971126,0.287997952837875,73.0,12.0
153,Ramyang,Tawang,Zemithang-Dudunghar,Arunachal Pradesh,True,27.514701,91.6549664,-0.0883222178431718,0.3019469320239507,73.0,12.0
