village_id,village,district,block,state,is_core_sample,latitude,longitude,ndbi_2021,ndbi_n_2021,lights_2021,lights_n_2021,ndbi_2023,ndbi_n_2023,lights_2023,lights_n_2023,ndbi_2025,ndbi_n_2025,lights_2025,lights_n_2025,ndbi_slope,ndbi_trend_r2,lights_slope,lights_trend_r2
94,Tate,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.9539309,93.2699171,-0.3110107152020048,98,0.4195953464825243,4,-0.257392137156742,98,0.2534645203740528,4,-0.2844881407546675,121,0.4435670728694044,4,0.006630643611834325,0.24467196641372682,0.0059929315967200275,0.01340264778278512
95,Yumlam,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.8897958,93.4560068,-0.2470274930302098,25,0.40909999344084,4,-0.1869889687298057,25,0.3187638929486274,4,-0.2442840577572534,30,0.27568332966831,4,0.000685858818239099,0.001637397433380654,-0.03335416594313251,0.9598604855017515
96,Cheba,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.0204954,93.4801015,-0.244505705712648,50,0.3840050454431051,4,-0.1962531763206775,50,0.1500028005128751,4,-0.2248234514166438,60,0.3630577381282644,4,0.004920563574001051,0.16452252386396335,-0.00523682682871017,0.006543354187236841
97,Dape,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.0305059,93.4762607,-0.2872536408492523,25,0.355674381113483,4,-0.1997175212348364,25,0.1889277641865389,4,-0.2341421963177576,30,0.3083182808104271,4,0.01327786113287368,0.36262195261758223,-0.011839025075763968,0.07593260843455278
98,Dare,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.040746,93.4566336,-0.2530614633701173,25,0.3853989912063948,4,-0.2058647591329265,25,0.2207589206185989,4,-0.2238980211377063,30,0.3513420767350388,4,0.007290860558102754,0.3748668537488741,-0.008514228617839001,0.03839099162850313
99,Geyang,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.032302,93.4718342,-0.2725685481281262,25,0.3582578289095455,4,-0.182596305202341,25,0.1902209157144997,4,-0.1994239474278522,30,0.3221672199649832,4,0.018286150175068502,0.5845731102230797,-0.009022652236140571,0.04161553866774629
100,Gonang,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,27.9884834,93.5169908,-0.200440786805615,50,0.3130674133809765,4,-0.235801850385363,50,0.2139522442991814,4,-0.2078192777441898,60,0.3274297790915778,4,-0.001844622734643697,0.03911313504140988,0.003590591427650322,0.013507356323041685
101,Nyokuriang,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.0062351,93.5622034,-0.2095806369161353,50,0.3953500031762653,4,-0.2289985775861305,50,0.1638861095077461,4,-0.2099456223566355,60,0.3136055552959442,4,-9.1246360125051e-05,0.00026995444316963547,-0.020436111970080273,0.12123860559930996
102,Pachang,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.0250521,93.4720132,-0.2301862453413153,50,0.3887541687594637,4,-0.1955316735050254,50,0.1752558392166958,4,-0.1882314305856593,60,0.3271996687198507,4,0.010488703688913997,0.8758874840543273,-0.015388625009903262,0.07843826998195769
103,Pado I,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,27.9756026,93.5757879,-0.2435206521045208,50,0.3720418906744632,4,-0.2368963382633575,50,0.2073379921513562,4,-0.2681890386379147,60,0.289994406833329,4,-0.006167096633348474,0.5594320717838195,-0.02051187096028355,0.24815372421595472
104,Pagam,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.049312,93.4584998,-0.3158282044089014,25,0.3338535909494643,4,-0.1932836905239308,25,0.1861519317188974,4,-0.2370239873145267,30,0.3598342521085265,4,0.019701054273593678,0.40254819806601194,0.006495165289765542,0.019228310443153256
105,Pape,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.0129617,93.4902587,-0.2580965191306212,50,0.3556437249420485,4,-0.2274072313589483,50,0.1717591535436458,4,-0.2334909728496681,60,0.3803079917150386,4,0.006151386570238274,0.5732263018054417,0.006166066693247527,0.011711418575447123
106,Pariang,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.0328165,93.4803814,-0.3154115146903462,25,0.3529040419426563,4,-0.2172580550326827,25,0.1295342299205018,4,-0.2432223709993692,30,0.2571689095828937,4,0.018047285922744245,0.5036823815640595,-0.023933783089940652,0.18245310693526465
107,Passik,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.0360017,93.4705453,-0.3089771685145402,25,0.3507488811334682,4,-0.1758406636522318,25,0.1457878623846378,4,-0.2238472384618316,30,0.3165033366738554,4,0.021282482513177152,0.39852738662706605,-0.008561386114903202,0.024322469455075123
108,Pilop,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.004125,93.5674707,-0.2355300877317119,50,0.3668580306398922,4,-0.2253805000909635,50,0.1039507917520417,4,-0.21964007907779,60,0.3034756790458886,4,0.003972502163480475,0.9749770844964284,-0.015845587898500893,0.05335197357005892
109,Rashik,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.0080613,93.5508476,-0.2803804591920462,50,0.3953216701207797,4,-0.2353782425582773,50,0.1790434501173803,4,-0.2798287439729284,60,0.3462358909253342,4,0.0001379288047794469,0.00011410759221090884,-0.012271444798861372,0.04685205719265237
110,Yarba-I,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,27.96349,93.5654022,-0.2524356765232599,50,0.3596317926184547,4,-0.2485987444047206,50,0.3185520553641672,4,-0.261892107657375,60,0.2772757464139036,4,-0.002364107783528774,0.4775913426691908,-0.020589011551137765,0.9999981009827371
111,Bala,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9431025,93.1252507,-0.2720646219284013,98,0.3465100174751112,4,-0.290440263165394,98,0.3009148996584408,4,-0.2570357759960593,121,0.3631423843384319,4,0.0037572114830854986,0.20173948993794102,0.0041580917158301756,0.06662910795886842
112,Chaching,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9375989,93.2339474,-0.2897243740231963,98,0.4138081963865826,4,-0.2248008455064544,98,0.2690881343347799,4,-0.2632253455458361,121,0.3466463423356778,4,0.006624757119340047,0.16473980596842464,-0.0167904635127262,0.21500147233710482
113,Chulu,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.8792111,93.0545229,-0.2645435668376306,98,0.3891010012862156,4,-0.2676026029097186,98,0.3066010015058464,4,-0.2805245898925819,120,0.3706465051256194,4,-0.003995255763737826,0.8873391610207242,-0.0046136240401490475,0.04541459403894494
114,Gane,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9643147,93.0391329,-0.2381267265996641,196,0.3919966248344918,4,-0.3097770139078475,196,0.3050646775551936,4,-0.238037423111569,237,0.2129302594404252,4,2.2325872023776228e-05,1.1636452546758343e-06,-0.044766591348516654,0.9997187141804883
115,Haraiho,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9804475,93.1383943,-0.289861767780243,98,0.3918100548856084,4,-0.2562388204449657,98,0.3325614468178936,4,-0.2956799927553541,121,0.3570418956226476,4,-0.0014545562437777854,0.01866851177067389,-0.008692039815740196,0.3409292642211295
116,Kapu,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.8879985,93.075251,-0.2454225430251127,98,0.3086338178541465,4,-0.2313948507045874,98,0.3062709879634895,4,-0.2388880808530475,120,0.2889921559398412,4,0.0016336155430163033,0.21665638524274058,-0.004910415478576333,0.8387624670586898
117,Koropu,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9899045,93.2023371,-0.3062958207847183,98,0.3953492235384073,4,-0.2107073924180038,98,0.2454545447507877,4,-0.2602004095551576,121,0.2874528827133305,4,0.01152385280739017,0.23244589997566464,-0.026974085206269188,0.4867726325678337
118,Machane,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9220981,93.0770012,-0.2980959326613911,98,0.3580168502719215,4,-0.270088267336441,98,0.2128988797410151,4,-0.2990369115592729,120,0.3105730354451061,4,-0.00023524472447045142,0.0008181668310027392,-0.011860953706703842,0.10278033863137298
119,Malo,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9563848,93.1153543,-0.2687036085165587,98,0.3714571563272896,4,-0.2807658759043593,98,0.1950394576572914,4,-0.2830046021514044,121,0.3286950376552551,4,-0.003575248408711415,0.8640926981902062,-0.010690529668008625,0.053977464759373935
120,Milli,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9506354,93.0574678,-0.2851666157495887,196,0.3912083305584059,4,-0.3008204429510274,196,0.3458277734451824,4,-0.2439948643060855,237,0.2425694451729457,4,0.010292937860875796,0.49187874266210846,-0.037159721346365054,0.9518911736745994
121,Namjo,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.942996,93.1849686,-0.3024203339366235,98,0.4064365890291002,4,-0.2659042796105194,98,0.3964309882368437,4,-0.2804252881228196,121,0.2712065086487835,4,0.005498761453450976,0.35781566935848963,-0.033807520095079174,0.8051659627450836
122,New Sarli,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9582217,93.1705235,-0.2945478364340835,98,0.3900613751195902,4,-0.252068274431982,98,0.2562974362600861,4,-0.3124083849411981,121,0.3924721021737371,4,-0.004465137126778651,0.08300870164825318,0.0006026817635367276,0.00023921226297431505
