village_id,village,district,block,state,is_core_sample,latitude,longitude,ndbi_before,ndbi_after,ndbi_before_image_count,ndbi_after_image_count,lights_before,lights_after,lights_before_image_count,lights_after_image_count,ndbi_change,lights_change
47,Dara Yangfo,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.732817,93.0487159,-0.2614216139895804,-0.221079477298034,98,120,0.3398773729668279,0.2488656607825088,4,4,0.040342136691546404,-0.09101171218431911
48,Lamrah,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.6967225,93.0373888,-0.2252423970823206,-0.2138892753058823,98,120,0.3298500063684252,0.3056138890981674,4,4,0.011353121776438296,-0.024236117270257818
49,Loto Yangfo,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.7296573,93.059293,-0.2442155639839622,-0.2157769642987284,98,120,0.341713477319546,0.2781994323047359,4,4,0.028438599685233795,-0.06351404501481006
50,Diya Sullung,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.7760452,93.0124888,-0.2561402462467278,-0.2864669845276615,98,120,0.4139938692052495,0.1998522834003038,4,4,-0.030326738280933685,-0.2141415858049457
51,Hara Yangfo,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.751648,93.1327809,-0.2699341544705203,-0.2673389691147204,49,61,0.3402901745866983,0.3135044561765555,4,4,0.002595185355799945,-0.026785718410142823
52,Jayang Bagang,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.7547367,93.1791026,-0.2572971304763714,-0.2496378281596043,49,61,0.3919022343345194,0.2936815616804794,4,4,0.007659302316767119,-0.09822067265404
53,Kesse Bagang,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.7809294,93.2034502,-0.251541648988653,-0.2615405818668682,49,61,0.3745027894775072,0.3202194382415878,4,4,-0.009998932878215183,-0.05428335123591943
54,Langchu Sullung,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.7569534,92.9355132,-0.2578248765104832,-0.2385142920966899,49,59,0.3890033469168275,0.1502199326133675,4,4,0.019310584413793297,-0.23878341430345998
55,Nampe Bagang,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.7140627,93.0313033,-0.2515771701726964,-0.2502416310720952,98,120,0.3782878586138808,0.3248190409887607,4,4,0.0013355391006011907,-0.053468817625120124
56,Raro Sullung,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.6890058,93.0717372,-0.2665705178451608,-0.2474385783012154,98,120,0.417797884988891,0.341450438268466,4,4,0.019131939543945375,-0.07634744672042498
57,Tamsang Yangfo,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.6760974,93.0917894,-0.2357241223363607,-0.2620204002194278,98,120,0.3904213166263486,0.3228264541498252,4,4,-0.0262962778830671,-0.06759486247652341
58,Warriam Sullung,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.7279436,92.9802579,-0.226371440117532,-0.2065962500281174,49,59,0.3833898288045226,0.2562598919632745,4,4,0.019775190089414585,-0.12712993684124813
