village_id,village,district,block,state,is_core_sample,latitude,longitude,ndbi_2021,ndbi_n_2021,lights_2021,lights_n_2021,ndbi_2023,ndbi_n_2023,lights_2023,lights_n_2023,ndbi_2025,ndbi_n_2025,lights_2025,lights_n_2025
92,Papu,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.9111524,93.3917445,-0.26964189891069945,145,0.36710093534655047,12,-0.2651611977732029,141,0.34718332648277284,12,-0.3030088178921677,162,0.2783000053299798,12
93,Rengchi,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.8914093,93.4267781,-0.2739936310449315,73,0.3312402423076672,12,-0.26634329375372734,73,0.3805992208595659,12,-0.2696606672499354,85,0.3184308805726178,12
94,Tate,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.9539309,93.2699171,-0.3008811119432026,292,0.3211391382827991,12,-0.25456766028156375,286,0.3042147123562523,12,-0.30122971614539207,341,0.3228058069613979,12
95,Yumlam,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.8897958,93.4560068,-0.23432594794019843,73,0.3717935259143511,12,-0.2319468047787351,73,0.37925647775332133,12,-0.2759866214899638,85,0.29969073451227607,12
96,Cheba,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.0204954,93.4801015,-0.21686761917118308,146,0.3177148679714032,12,-0.25375962496278853,146,0.280737105406186,12,-0.250177842542786,169,0.3092245903918562,12
97,Dape,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.0305059,93.4762607,-0.23253024463473906,73,0.2950790030692555,12,-0.2354099292082512,73,0.2721435234085163,12,-0.25089339638017216,84,0.32530285747675547,12
98,Dare,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.040746,93.4566336,-0.19854070570164992,73,0.3220572953245469,12,-0.2611372859322561,73,0.28728050472480904,12,-0.2479842580095636,84,0.3412527924270502,12
99,Geyang,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.032302,93.4718342,-0.21787834560375696,73,0.30027218446368875,12,-0.24745511036900208,73,0.2756767306951869,12,-0.22508701621574184,84,0.33347688158619865,12
100,Gonang,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,27.9884834,93.5169908,-0.1821452509372974,146,0.34246161201696723,12,-0.24220620156320544,146,0.34116572513339233,12,-0.21570529945077505,169,0.36924626147479156,12
101,Nyokuriang,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.0062351,93.5622034,-0.2049087180487472,146,0.2977148094442155,12,-0.2477812759735714,146,0.29444443835152523,12,-0.22825391070669274,169,0.2985027729140388,12
