system:index,after_image_count,before_image_count,block,district,is_core_sample,lights_after,lights_before,ndbi_after,ndbi_before,state,village,village_id,.geo
0000000000000000002b,3,2,Bameng,East Kameng,true,0.2988754133394632,0.39484780170065437,-0.25074906391589186,-0.25461851747424175,Arunachal Pradesh,Lengdi/Liang,44,"{""type"":""Point"",""coordinates"":[92.92388463611879,27.53762892476142]}"
0000000000000000002c,3,2,Bameng,East Kameng,true,0.30829417592193725,0.41997763081151634,-0.21965475858708042,-0.24074634893749006,Arunachal Pradesh,Upper Liyak,45,"{""type"":""Point"",""coordinates"":[92.84651031463939,27.533780720552294]}"
0000000000000000002d,3,2,Chayangtajo,East Kameng,true,0.2157574954559483,0.36290788829128173,-0.26093473559260805,-0.20329575273301592,Arunachal Pradesh,Dao,46,"{""type"":""Point"",""coordinates"":[92.93835887813826,27.783285260896808]}"
0000000000000000002e,7,5,Chayangtajo,East Kameng,true,0.24886566078250885,0.33987737296682796,-0.24585085151795724,-0.26215682929382045,Arunachal Pradesh,Dara Yangfo,47,"{""type"":""Point"",""coordinates"":[93.04871717011,27.732817155173905]}"
0000000000000000002f,7,5,Chayangtajo,East Kameng,true,0.30561388909816745,0.3298500063684252,-0.18878387091798224,-0.23577298917706296,Arunachal Pradesh,Lamrah,48,"{""type"":""Point"",""coordinates"":[93.0373865943332,27.69672073214626]}"
00000000000000000030,7,5,Chayangtajo,East Kameng,true,0.2781994323047359,0.341713477319546,-0.23837705823451766,-0.27409574357428973,Arunachal Pradesh,Loto Yangfo,49,"{""type"":""Point"",""coordinates"":[93.05929415780878,27.729655652527015]}"
00000000000000000031,7,5,Chayangtajo,East Kameng,true,0.1998635837455635,0.4139782858386073,-0.2647943101369057,-0.2664770963175672,Arunachal Pradesh,Diya Sullung,50,"{""type"":""Point"",""coordinates"":[93.01248697405076,27.776043680786014]}"
00000000000000000032,4,3,Chayangtajo,East Kameng,true,0.3135044561765555,0.3402901745866983,-0.25373978132596364,-0.2974412911205766,Arunachal Pradesh,Hara Yangfo,51,"{""type"":""Point"",""coordinates"":[93.13278014316955,27.75164793892261]}"
00000000000000000033,4,3,Chayangtajo,East Kameng,true,0.29368156168047943,0.39190223433451943,-0.23941788377026665,-0.29372581756943766,Arunachal Pradesh,Jayang Bagang,52,"{""type"":""Point"",""coordinates"":[93.17910128491276,27.754738095952646]}"
00000000000000000034,4,3,Chayangtajo,East Kameng,true,0.3202941114378558,0.37452553889066076,-0.24254457267791318,-0.28354703997155667,Arunachal Pradesh,Kesse Bagang,53,"{""type"":""Point"",""coordinates"":[93.20344797666458,27.780930855540586]}"
00000000000000000035,3,2,Chayangtajo,East Kameng,true,0.1502199326133675,0.3890033469168275,-0.24045999595159945,-0.27483850584167663,Arunachal Pradesh,Langchu Sullung,54,"{""type"":""Point"",""coordinates"":[92.93551397166617,27.7569542691762]}"
00000000000000000036,7,5,Chayangtajo,East Kameng,true,0.3248190409887607,0.37828785861388087,-0.275694680049606,-0.2779513160623703,Arunachal Pradesh,Nampe Bagang,55,"{""type"":""Point"",""coordinates"":[93.0313043804963,27.714062176143116]}"
00000000000000000037,7,5,Chayangtajo,East Kameng,true,0.341450438268466,0.417797884988891,-0.2802891092054884,-0.2981239144311074,Arunachal Pradesh,Raro Sullung,56,"{""type"":""Point"",""coordinates"":[93.07173504974789,27.689006487323798]}"
00000000000000000038,7,5,Chayangtajo,East Kameng,true,0.32282645414982525,0.39042131662634866,-0.25054463986363323,-0.23633711534195903,Arunachal Pradesh,Tamsang Yangfo,57,"{""type"":""Point"",""coordinates"":[93.09178762718524,27.676097389774075]}"
00000000000000000039,3,2,Chayangtajo,East Kameng,true,0.2562598919632745,0.3833898288045226,-0.21571985995864115,-0.23745377446401664,Arunachal Pradesh,Warriam Sullung,58,"{""type"":""Point"",""coordinates"":[92.98025659163645,27.727943357722484]}"
0000000000000000003a,3,2,Khenewa,East Kameng,true,0.23963808922101235,0.29510858034370735,-0.24497305444362058,-0.23067686450193778,Arunachal Pradesh,Wallong,59,"{""type"":""Point"",""coordinates"":[92.96858712417958,27.653066132833022]}"
0000000000000000003b,2,1,Damin,Kurung Kumey,true,0.22181537621952466,0.3791554432726067,-0.26159389970983754,-0.3627671593481255,Arunachal Pradesh,Chate,60,"{""type"":""Point"",""coordinates"":[93.32362520915599,28.11918042505078]}"
0000000000000000003c,2,1,Damin,Kurung Kumey,true,0.13756764323157683,0.4198083370554407,-0.2808418778889082,-0.33264495132770827,Arunachal Pradesh,Chulla,61,"{""type"":""Point"",""coordinates"":[93.41127329946252,28.124299473060137]}"
0000000000000000003d,2,1,Damin,Kurung Kumey,true,0.311222159932212,0.3535300658513815,-0.19670732793269372,-0.3000205791058951,Arunachal Pradesh,Damin H.Q.,62,"{""type"":""Point"",""coordinates"":[93.33438501999797,28.1041978455112]}"
0000000000000000003e,2,1,Damin,Kurung Kumey,true,0.23102826483035566,0.33102826992186113,-0.2713825976173918,-0.32467974431768243,Arunachal Pradesh,Damin Village,63,"{""type"":""Point"",""coordinates"":[93.34435556995346,28.10500940190293]}"
0000000000000000003f,2,1,Damin,Kurung Kumey,true,0.19631813310741453,0.34984705342731975,-0.2555549530149142,-0.3364203105328525,Arunachal Pradesh,Digok,64,"{""type"":""Point"",""coordinates"":[93.34968865481338,28.127251397957515]}"
00000000000000000040,2,1,Damin,Kurung Kumey,true,0.17651625483760383,0.4310930607163852,-0.2730275003709362,-0.36528829759774956,Arunachal Pradesh,Fuba,65,"{""type"":""Point"",""coordinates"":[93.33768029567646,28.11985374930985]}"
00000000000000000041,2,1,Damin,Kurung Kumey,true,0.26915371816576383,0.3779439510039563,-0.2358635258757943,-0.3154158710493029,Arunachal Pradesh,Huri,66,"{""type"":""Point"",""coordinates"":[93.30459822496094,28.109508634865858]}"
00000000000000000042,2,1,Damin,Kurung Kumey,true,0.2947151544874749,0.40399612169877624,-0.20397148731159484,-0.31604776640488835,Arunachal Pradesh,Katuk,67,"{""type"":""Point"",""coordinates"":[93.2501392237952,28.118908419886516]}"
00000000000000000043,2,1,Damin,Kurung Kumey,true,0.29997483135869846,0.37669183107163823,-0.22366664168988987,-0.2911642912306293,Arunachal Pradesh,Kopila,68,"{""type"":""Point"",""coordinates"":[93.30888342107332,28.10922325239843]}"
00000000000000000044,2,1,Damin,Kurung Kumey,true,0.28917789196660354,0.37774691336885446,-0.25595204630687746,-0.32985931169923105,Arunachal Pradesh,Machang,69,"{""type"":""Point"",""coordinates"":[93.30057165670968,28.096247268332903]}"
