village_id,village,district,block,state,is_core_sample,latitude,longitude,ndbi_scl_before,ndbi_scl_after,ndbi_scl_before_image_count,ndbi_scl_after_image_count
78,Tarba,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1607522,93.4195471,-0.32019795335961165,-0.3142757704578854,49,60
79,Tokriang,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1110736,93.3311986,-0.29968180559258567,-0.2718867696753387,49,60
80,Yaso,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1002726,93.3473375,-0.27373500641290927,-0.3014377552781551,49,60
81,Buhan,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.8895447,93.283152,-0.3321244046434561,-0.3234076115672968,49,61
82,Buyang,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.9419935,93.286116,-0.30225133595006315,-0.27423244785787154,98,121
83,Buyang-II,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.9419935,93.286116,-0.30225133595006315,-0.27423244785787154,98,121
84,Chello,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.8849215,93.291646,-0.2731234746740727,-0.2544213873722008,49,61
85,Chimpu,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.9522411,93.2566277,-0.2870823571297901,-0.29555938590791947,98,121
86,Chomi,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.955673,93.2595487,-0.2988969399918321,-0.29303026277902694,98,121
87,Chote,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.9524396,93.2616596,-0.2835542416330008,-0.28644402901246174,98,121
88,Kiodhriang,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.8581693,93.2541827,-0.2855714680502774,-0.26380825722601936,49,61
89,Nangram,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.9071735,93.4387839,-0.2632153653522175,-0.24599834283609362,25,30
90,Nyolo,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.9012651,93.3076219,-0.2979083703999899,-0.2784693714140842,49,61
91,Pakba,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.8903622,93.3997806,-0.2923506179552205,-0.27521584784458986,39,35
92,Papu,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.9111524,93.3917445,-0.2990815606272261,-0.25665947346693285,49,57
93,Rengchi,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.8914093,93.4267781,-0.2730118850477314,-0.2525003202857407,25,30
94,Tate,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.9539309,93.2699171,-0.32189129642960645,-0.31646428295575646,98,121
95,Yumlam,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.8897958,93.4560068,-0.2899560879179462,-0.2597446049152764,25,30
96,Cheba,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.0204954,93.4801015,-0.27085232361143163,-0.23317266506632714,50,60
97,Dape,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.0305059,93.4762607,-0.29289476395867303,-0.24834534656329477,25,30
98,Dare,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.040746,93.4566336,-0.26352879790228784,-0.24106434767979168,25,30
99,Geyang,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.032302,93.4718342,-0.27929890410992536,-0.21823789438759783,25,30
100,Gonang,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,27.9884834,93.5169908,-0.20906378244448162,-0.2121930658838157,50,60
101,Nyokuriang,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.0062351,93.5622034,-0.23558670232605483,-0.21413642788999257,50,60
102,Pachang,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.0250521,93.4720132,-0.25265699261766505,-0.19455053152793225,50,60
103,Pado I,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,27.9756026,93.5757879,-0.25557342151950224,-0.26553243922199304,50,60
104,Pagam,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.049312,93.4584998,-0.3036980220989865,-0.2523005951574362,25,30
105,Pape,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.0129617,93.4902587,-0.2816554196312345,-0.24292757895700484,50,60
106,Pariang,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.0328165,93.4803814,-0.31225736174742125,-0.2681097227143497,25,30
107,Passik,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.0360017,93.4705453,-0.2995926809423196,-0.24673404625318748,25,30
108,Pilop,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.004125,93.5674707,-0.24706608654698314,-0.2312159812590966,50,60
109,Rashik,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.0080613,93.5508476,-0.29411932051919043,-0.2862913719248029,50,60
110,Yarba-I,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,27.96349,93.5654022,-0.2704186284416221,-0.2691907672181358,50,60
111,Bala,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9431025,93.1252507,-0.3118649711907437,-0.2631670563660354,98,121
112,Chaching,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9375989,93.2339474,-0.3027241250567793,-0.29113223409749167,98,121
113,Chulu,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.8792111,93.0545229,-0.29343224441199495,-0.28356712688636665,98,120
114,Gane,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9643147,93.0391329,-0.27332736115702794,-0.26633770603286056,196,237
115,Haraiho,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9804475,93.1383943,-0.3170046244982244,-0.3174902498941584,98,121
116,Kapu,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.8879985,93.075251,-0.2591916976492923,-0.24920989801006754,98,120
117,Koropu,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9899045,93.2023371,-0.3264728006440041,-0.2969291414530357,98,121
118,Machane,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9220981,93.0770012,-0.3194968731522153,-0.3160497520230903,98,120
119,Malo,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9563848,93.1153543,-0.30017606202655617,-0.29486318753313484,98,121
120,Milli,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9506354,93.0574678,-0.3068494102040773,-0.25987256521485613,196,237
121,Namjo,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.942996,93.1849686,-0.3156060296499153,-0.293181162440682,98,121
122,New Sarli,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9582217,93.1705235,-0.30949088853037665,-0.31288050615119584,98,121
123,Riya,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.8776779,93.0467319,-0.2821077760582074,-0.27746394781927614,98,120
124,Sape,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9549291,93.1321419,-0.28767887831802025,-0.28347529164069674,98,121
125,Sarli,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9525582,93.163373,-0.2469475751294317,-0.2651581047145917,98,121
126,Sate,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9537376,93.1572444,-0.2604153308783195,-0.2729742422605651,98,121
127,Wabia,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9413919,93.1360402,-0.2855596393506434,-0.28578397017765234,98,121
128,Walu,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9413919,93.1360402,-0.2855596393506434,-0.28578397017765234,98,121
129,Waru,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.8852647,93.0448126,-0.29038291502129354,-0.27205407143367843,98,120
130,Chanli,Lower Dibang,Hunli-Desali,Arunachal Pradesh,True,28.2923493,96.0296242,-0.24154567797658025,-0.23099846726254536,86,83
131,Broxer,Tawang,Jang-Thingbu,Arunachal Pradesh,True,27.622647,91.9631993,-0.23229592764035029,-0.2625527888189127,24,30
132,Luguthang,Tawang,Jang-Thingbu,Arunachal Pradesh,True,27.5948234,92.1857466,-0.17994477889571564,-0.1947081814699033,24,29
133,Mago,Tawang,Jang-Thingbu,Arunachal Pradesh,True,27.6883395,92.2081099,-0.25185241946408005,-0.2587972897064707,24,29
