village_id,village,district,block,state,is_core_sample,latitude,longitude,distance_to_border_km,village_source,district_verified,ndbi_before,ndbi_after,ndbi_before_image_count,ndbi_after_image_count,lights_before,lights_after,lights_before_image_count,lights_after_image_count
39,Tafraliang,Anjaw,Unknown,Arunachal Pradesh,True,28.0886403,96.4529695,33.153023601738646,control (non-VVP),True,-0.21854305700440382,-0.27547056773267375,73,86,0.28824371657852593,0.3107852905724371,12,12
40,Paluliang,Anjaw,Unknown,Arunachal Pradesh,True,28.1167741,96.5706359,33.39289000170816,control (non-VVP),True,-0.23770142934132094,-0.25488404526005154,73,86,0.2386221874294883,0.28678756069437344,12,12
41,Tikromla,Anjaw,Unknown,Arunachal Pradesh,True,28.0971168,96.5348369,34.31385251032624,control (non-VVP),True,-0.26154837983980833,-0.2766144603900961,73,86,0.2881775458499921,0.2734494833193258,12,12
42,Champhai,Anjaw,Unknown,Arunachal Pradesh,True,28.1085212,96.57408,34.3674923444699,control (non-VVP),True,-0.27114397657911427,-0.2893498345883512,73,86,0.2233791597664156,0.2798213632453304,12,12
43,Chirang 266667,Anjaw,Unknown,Arunachal Pradesh,True,28.0684239,96.4069505,34.51581155631747,control (non-VVP),True,-0.2737832002906517,-0.3022348339322533,73,86,0.2308397798477549,0.25491242946447,12,12
44,Barafu,Anjaw,Unknown,Arunachal Pradesh,True,28.1017011,96.558488,34.52797727422521,control (non-VVP),True,-0.2577909914074071,-0.27550811806977615,73,86,0.28165367172661765,0.24746473543428898,12,12
45,Langum,Anjaw,Unknown,Arunachal Pradesh,True,28.1218659,96.6112899,34.76622900601115,control (non-VVP),True,-0.29253622091262227,-0.2981137750873504,73,86,0.25370329214915316,0.262286351437574,12,12
46,Khupa Village 266673,Anjaw,Unknown,Arunachal Pradesh,True,28.0771387,96.4736667,34.92083910596573,control (non-VVP),True,-0.25238446324161073,-0.2662404714551908,73,86,0.3752743315199451,0.3021016517042979,12,12
47,Hayugam,Anjaw,Unknown,Arunachal Pradesh,True,28.0893566,96.5438268,35.3843601683056,control (non-VVP),True,-0.294323292899727,-0.31591534002543126,73,86,0.3378576743297087,0.3004208497512035,12,12
48,Kalamdia,Anjaw,Unknown,Arunachal Pradesh,True,28.0994655,96.5765815,35.38966199183561,control (non-VVP),True,-0.2592550485552431,-0.2825678664575296,73,86,0.2610706292813824,0.25408787009315575,12,12
49,Khugam,Anjaw,Unknown,Arunachal Pradesh,True,28.0970181,96.5765587,35.64039244454056,control (non-VVP),True,-0.24591132794684506,-0.2626037355874754,73,86,0.2591048299870222,0.23741325102375196,12,12
50,Swami Camp,Anjaw,Unknown,Arunachal Pradesh,True,28.0761921,96.5004673,35.71663701514807,control (non-VVP),True,-0.13879936992530062,-0.16136159693601343,73,86,0.5386330005728311,0.5238688347342277,12,12
51,Chameliang,Anjaw,Unknown,Arunachal Pradesh,True,28.081538,96.5395274,36.10070905223501,control (non-VVP),True,-0.17942332762114033,-0.22790066389585745,73,86,0.5216666703056169,0.7064700009305472,12,12
52,Nenuliang,Anjaw,Unknown,Arunachal Pradesh,True,28.0695914,96.5025516,36.47740878026867,control (non-VVP),True,-0.15117351423706535,-0.1568903025252534,73,86,0.47069198900870907,0.45216000469983825,12,12
53,Khupa Township,Anjaw,Unknown,Arunachal Pradesh,True,28.0654038,96.4926664,36.669653927690405,control (non-VVP),True,-0.15548903811962994,-0.16226367890216667,73,86,0.7830670829110616,1.0204923147911982,12,12
54,Amliang,Anjaw,Unknown,Arunachal Pradesh,True,28.0586788,96.4688356,36.772239821896335,control (non-VVP),True,-0.16331443185642996,-0.16984186491774694,73,86,0.3478500920301043,0.3614031626192551,12,12
55,Mompani,Anjaw,Unknown,Arunachal Pradesh,True,28.0513007,96.4415599,36.90022530314944,control (non-VVP),True,-0.258184147351068,-0.27192558294388625,73,86,0.24163472610436537,0.24950018943431274,12,12
56,Langjon,Anjaw,Unknown,Arunachal Pradesh,True,28.053427,96.4586965,37.07185575220221,control (non-VVP),True,-0.16296136695110236,-0.17826008305197896,73,86,0.2555007433213518,0.30310108108132444,12,12
57,Thamptong 266699,Anjaw,Unknown,Arunachal Pradesh,True,28.0678982,96.519264,37.09174843787751,control (non-VVP),True,-0.27654976620729144,-0.28359711910836755,73,86,0.3214620211021562,0.2921653732129958,12,12
58,Talang,Anjaw,Unknown,Arunachal Pradesh,True,28.0840788,96.5820921,37.17372787408739,control (non-VVP),True,-0.302899604619027,-0.2807702318690141,73,86,0.2985291964397198,0.2660855470501927,12,12
59,Mahikong,Anjaw,Unknown,Arunachal Pradesh,True,28.0544424,96.4828253,37.58834433224498,control (non-VVP),True,-0.2131025406216897,-0.20852844811072507,73,86,0.3142311923799262,0.2909070788759046,12,12
60,Tepang,Anjaw,Unknown,Arunachal Pradesh,True,27.9688421,96.7188848,37.9259149195321,control (non-VVP),True,-0.24547017860374787,-0.2468797436714517,146,172,0.2134137657856701,0.2348522240699475,12,12
61,Blom,Anjaw,Unknown,Arunachal Pradesh,True,28.0783604,96.5876028,37.96428159431192,control (non-VVP),True,-0.2890290863016592,-0.2786229655013788,73,86,0.31915364251472056,0.28710472397506237,12,12
62,布拉母哈岗,Anjaw,Unknown,Arunachal Pradesh,True,28.0669816,96.5559722,38.103619818542384,control (non-VVP),True,-0.0835215581683618,-0.11913231901987027,73,86,1.3972159732380385,1.1486267546700948,12,12
63,Kamba,Anjaw,Unknown,Arunachal Pradesh,True,28.0665856,96.5608784,38.29061279666109,control (non-VVP),True,-0.14770961419496503,-0.20626708529021073,73,86,0.9455908698714032,0.7333110421397615,12,12
64,Chillang,Anjaw,Unknown,Arunachal Pradesh,True,28.0356469,96.4227016,38.30913224271945,control (non-VVP),True,-0.3161548361981635,-0.3467934522061648,73,86,0.25663116834890687,0.24669002315589125,12,12
65,Chingraliang 266703,Anjaw,Unknown,Arunachal Pradesh,True,28.0460551,96.4835718,38.5057562974661,control (non-VVP),True,-0.2752359131700933,-0.2844654026401999,73,86,0.2607334388976092,0.24719107843993376,12,12
66,Mele 266697,Anjaw,Unknown,Arunachal Pradesh,True,28.0533163,96.5470204,39.31156367802646,control (non-VVP),True,-0.26497593204736986,-0.27782739193976586,73,86,0.2747745799053535,0.21153732675009987,12,12
67,Karangliang,Anjaw,Unknown,Arunachal Pradesh,True,28.0328845,96.4619146,39.35483127096242,control (non-VVP),True,-0.29854432568989975,-0.29570904346902877,73,86,0.22327666007887695,0.2322538109328037,12,12
68,Naraliang,Anjaw,Unknown,Arunachal Pradesh,True,28.0272329,96.4412739,39.516581462951535,control (non-VVP),True,-0.2497395712527581,-0.26340660241482294,73,86,0.25110551953249066,0.23938105757071138,12,12
69,Takaliang,Anjaw,Unknown,Arunachal Pradesh,True,28.0190688,96.4160791,40.05087119190448,control (non-VVP),True,-0.32618560983570355,-0.35053752741151684,73,86,0.28934958600284255,0.2443717691857376,12,12
70,Chiphugam 266713,Anjaw,Unknown,Arunachal Pradesh,True,28.0127703,96.4014324,40.608662519250345,control (non-VVP),True,-0.3237956726026479,-0.3411209539759414,73,86,0.2594521438368408,0.23644309725505017,12,12
71,Khorlang,Anjaw,Unknown,Arunachal Pradesh,True,28.0257952,96.487329,40.77244573605165,control (non-VVP),True,-0.2821150169466516,-0.2883210791959608,73,86,0.284049599241894,0.24226493108193436,12,12
72,Tummla,Anjaw,Unknown,Arunachal Pradesh,True,28.0474659,96.582792,40.9916149981248,control (non-VVP),True,-0.1732189799905616,-0.18972154662047408,73,86,0.23790548171773052,0.2702507429008249,12,12
73,Matong,Anjaw,Unknown,Arunachal Pradesh,True,28.0593901,96.6181031,41.1988576731284,control (non-VVP),True,-0.26518913146054407,-0.2869485126749752,73,86,0.3119588865511186,0.2633849601632199,12,12
74,Paya,Anjaw,Unknown,Arunachal Pradesh,True,28.0083682,96.4228615,41.3081896196448,control (non-VVP),True,-0.27686147003891604,-0.30940315466163876,73,86,0.2871917650549119,0.26758767276639295,12,12
75,Supnung,Anjaw,Unknown,Arunachal Pradesh,True,28.0571961,96.6182474,41.42029518150113,control (non-VVP),True,-0.24247252578150802,-0.26765560459661153,73,86,0.3051541166778154,0.2571982282109699,12,12
76,Bruini,Dibang Valley,Unknown,Arunachal Pradesh,True,29.1545325,96.1488625,4.739801400488968,control (non-VVP),True,-0.1554537094764159,-0.2208407120171458,296,340,0.26754655631560853,0.3439888230748683,12,12
77,Andrala Omkar,Dibang Valley,Unknown,Arunachal Pradesh,True,29.0623725,95.6169709,12.5097504539976,control (non-VVP),True,-0.234118621720563,-0.2888417677167179,73,86,0.2582244353568963,0.29391288777126423,12,12
78,阿进,Dibang Valley,Unknown,Arunachal Pradesh,True,29.0685,96.0265797,14.471694450516267,control (non-VVP),True,-0.16873402776301138,-0.2177412755871813,296,340,0.30054606900997627,0.2282690898502976,12,12
79,Mawu,Dibang Valley,Unknown,Arunachal Pradesh,True,29.0571162,96.0144078,15.67462930303044,control (non-VVP),True,-0.16772511769609397,-0.23523456246003127,296,340,0.3297121736564133,0.24940241172321526,12,12
80,阿普衣,Dibang Valley,Unknown,Arunachal Pradesh,True,29.0043871,95.9701987,20.09789314478475,control (non-VVP),True,-0.16913962679458877,-0.2323710572516729,297,340,0.3450686054878779,0.20512257616161386,12,12
81,Dambuen,Dibang Valley,Unknown,Arunachal Pradesh,True,28.931081,95.9752764,21.21593602485472,control (non-VVP),True,-0.11227080692793778,-0.11688469239774421,294,340,0.2808930545144225,0.23952687547561968,12,12
82,Basam,Dibang Valley,Unknown,Arunachal Pradesh,True,29.0406371,95.8135986,21.81207441458054,control (non-VVP),True,-0.21335624507618323,-0.2382250550501673,149,169,0.3178159642444217,0.21727273106046366,12,12
83,Rilley,Dibang Valley,Unknown,Arunachal Pradesh,True,28.8599437,95.9809166,22.764206356793835,control (non-VVP),True,-0.17144378768983207,-0.18202616471246427,592,684,0.35190581712896457,0.18582597628202924,12,12
84,dian,Dibang Valley,Unknown,Arunachal Pradesh,True,28.9488654,95.6849583,23.39036782499988,control (non-VVP),True,-0.22934715036719733,-0.29545144305386767,148,170,0.2873033811199625,0.17807423447432302,12,12
85,埃巴尼,Dibang Valley,Unknown,Arunachal Pradesh,True,29.0173756,95.8081057,23.9627626264192,control (non-VVP),True,-0.18840064611142213,-0.21469202654993752,147,169,0.29412367527754457,0.21230241674296027,12,12
86,Atalin,Dibang Valley,Unknown,Arunachal Pradesh,True,28.8368966,95.9659782,25.176539267310137,control (non-VVP),True,-0.10093952608818012,-0.13779676025058912,591,684,0.33154051629877884,0.3455073614146828,12,12
87,Ahunli,Dibang Valley,Unknown,Arunachal Pradesh,True,28.8345474,95.9597204,25.83864178208416,control (non-VVP),True,-0.07787088193210014,-0.12125855028962634,589,684,0.3341750447976523,0.3121945931591801,12,12
88,Abali,Dibang Valley,Unknown,Arunachal Pradesh,True,28.99724,95.8076255,26.034179785880767,control (non-VVP),True,-0.20500901280339603,-0.2196369858339504,147,169,0.2771561617213013,0.2042772832565603,12,12
89,Beyanli,Dibang Valley,Unknown,Arunachal Pradesh,True,28.9959135,95.8079275,26.18250955105191,control (non-VVP),True,-0.20630618950703908,-0.21940641553821522,147,169,0.2757849105094608,0.1968695152093444,12,12
90,Awalin,Dibang Valley,Unknown,Arunachal Pradesh,True,28.7056681,96.1699665,26.211338075489483,control (non-VVP),True,-0.21463099995905965,-0.23111858239767336,146,172,0.28587367222516324,0.26730839896647973,12,12
91,Singo,Dibang Valley,Unknown,Arunachal Pradesh,True,28.8257925,95.9457494,27.496207989464107,control (non-VVP),True,-0.09563143732834695,-0.12565479132472,588,684,0.3123239816481,0.31800421252764755,12,12
92,Mihundo,Dibang Valley,Unknown,Arunachal Pradesh,True,28.829056,95.9393137,27.89030060387755,control (non-VVP),True,-0.11563351594979641,-0.16338386424543647,588,684,0.3120377501071488,0.27653867082042594,12,12
93,Akolin,Dibang Valley,Unknown,Arunachal Pradesh,True,28.8236778,95.9416852,27.95640540054999,control (non-VVP),True,-0.0745955129876062,-0.11686958803286805,588,684,0.3089537463983775,0.2891235282308205,12,12
94,Ayongo,Dibang Valley,Unknown,Arunachal Pradesh,True,28.8230669,95.9418373,27.97493894289717,control (non-VVP),True,-0.07421521693148551,-0.1138290388681607,588,684,0.3076877314965803,0.28674267121068725,12,12
