village_id,village,district,block,state,is_core_sample,latitude,longitude,ndbi_2019,lights_2019,ndbi_2019_image_count,lights_2019_image_count
80,Yaso,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1002726,93.3473375,-0.2950216122557675,0.1269910988191741,48,4
81,Buhan,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.8895447,93.283152,-0.2549285466714656,0.2623593916171581,50,4
82,Buyang,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.9419935,93.286116,-0.2619716783903573,0.2681694383919238,98,4
83,Buyang-II,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.9419935,93.286116,-0.2619716783903573,0.2681694383919238,98,4
84,Chello,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.8849215,93.291646,-0.2255253384380102,0.2784350695838939,50,4
85,Chimpu,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.9522411,93.2566277,-0.2683363915568078,0.2946843936923862,97,4
86,Chomi,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.955673,93.2595487,-0.2805348531709495,0.2137791353146587,96,4
87,Chote,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.9524396,93.2616596,-0.2691226194185405,0.2378370816285689,96,4
88,Kiodhriang,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.8581693,93.2541827,-0.2313152049908241,0.2222115393407744,50,4
89,Nangram,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.9071735,93.4387839,-0.2640711890569888,0.3186287671128244,23,4
90,Nyolo,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.9012651,93.3076219,-0.2538854643198447,0.2727034646631483,50,4
91,Pakba,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.8903622,93.3997806,-0.2772808617055937,0.3223140907538983,31,4
92,Papu,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.9111524,93.3917445,-0.2680659639242277,0.3029472257031335,50,4
93,Rengchi,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.8914093,93.4267781,-0.2503179863477793,0.2991666682521369,23,4
94,Tate,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.9539309,93.2699171,-0.2927343156344457,0.2380820405225531,96,4
95,Yumlam,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.8897958,93.4560068,-0.2629563805454789,0.3462805525130695,23,4
96,Cheba,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.0204954,93.4801015,-0.2360137731814311,0.2303335233069455,46,4
97,Dape,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.0305059,93.4762607,-0.2621965051509423,0.2758154644384879,23,4
98,Dare,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.040746,93.4566336,-0.2339174309979486,0.2723325859489185,23,4
99,Geyang,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.032302,93.4718342,-0.2351151966577513,0.2537388120521635,23,4
100,Gonang,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,27.9884834,93.5169908,-0.2067555514319571,0.2505533653028896,46,4
101,Nyokuriang,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.0062351,93.5622034,-0.234629309920873,0.1068166656047105,46,4
102,Pachang,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.0250521,93.4720132,-0.222183990136055,0.2539571767820001,46,4
103,Pado I,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,27.9756026,93.5757879,-0.2303753823245852,0.172047485086505,46,4
104,Pagam,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.049312,93.4584998,-0.2820250927526584,0.2577734876732799,23,4
105,Pape,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.0129617,93.4902587,-0.2329683616973231,0.2593673731920854,46,4
106,Pariang,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.0328165,93.4803814,-0.2883721086183778,0.2843462399026226,23,4
107,Passik,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.0360017,93.4705453,-0.2516347062200683,0.2251893093431978,23,4
