system:index,block,district,is_core_sample,lights_after,lights_before,ndbi_after,ndbi_before,state,village,village_id,.geo
00000000000000000029,Etalin-Malinye,Dibang Valley,True,0.2334104398454444,0.3134596827237502,-0.178196667840172,-0.2190300637031145,Arunachal Pradesh,Mawali,42,"{""type"":""Point"",""coordinates"":[96.01702034566048,28.659971282610588]}"
0000000000000000002a,Etalin-Malinye,Dibang Valley,True,0.2626424579979987,0.3304934886247752,-0.3493167887654279,-0.2864718086761545,Arunachal Pradesh,Punli,43,"{""type"":""Point"",""coordinates"":[95.85207819769352,28.656591284012077]}"
0000000000000000002b,Bameng,East Kameng,True,0.3329866635019911,0.3480157832013445,-0.2756793175717373,-0.2260844779044077,Arunachal Pradesh,Lengdi/Liang,44,"{""type"":""Point"",""coordinates"":[92.92388463611879,27.53762892476142]}"
0000000000000000002c,Bameng,East Kameng,True,0.2985878103731462,0.3101845586659925,-0.2187110726147611,-0.2166289141329388,Arunachal Pradesh,Upper Liyak,45,"{""type"":""Point"",""coordinates"":[92.84651031463939,27.533780720552294]}"
0000000000000000002d,Chayangtajo,East Kameng,True,0.2623723619488315,0.305490194229651,-0.3242545230806703,-0.2854143712276628,Arunachal Pradesh,Dao,46,"{""type"":""Point"",""coordinates"":[92.93835887813826,27.783285260896808]}"
0000000000000000002e,Chayangtajo,East Kameng,True,0.2790830482540853,0.3169110007376442,-0.308153973246854,-0.2780701094633058,Arunachal Pradesh,Dara Yangfo,47,"{""type"":""Point"",""coordinates"":[93.04871717011,27.732817155173905]}"
0000000000000000002f,Chayangtajo,East Kameng,True,0.3395953679084778,0.276846293773916,-0.2747110045703043,-0.2666276667937984,Arunachal Pradesh,Lamrah,48,"{""type"":""Point"",""coordinates"":[93.0373865943332,27.69672073214626]}"
00000000000000000030,Chayangtajo,East Kameng,True,0.2839634849784079,0.3144410130013241,-0.288850923338637,-0.2603887662259797,Arunachal Pradesh,Loto Yangfo,49,"{""type"":""Point"",""coordinates"":[93.05929415780878,27.729655652527015]}"
00000000000000000031,Chayangtajo,East Kameng,True,0.2116091319407546,0.3466972887250522,-0.3355363106221335,-0.2968380851776648,Arunachal Pradesh,Diya Sullung,50,"{""type"":""Point"",""coordinates"":[93.01248697405076,27.776043680786014]}"
00000000000000000032,Chayangtajo,East Kameng,True,0.3056045282366019,0.3363132438888506,-0.2713630650565846,-0.2821040783584643,Arunachal Pradesh,Hara Yangfo,51,"{""type"":""Point"",""coordinates"":[93.13278014316955,27.75164793892261]}"
00000000000000000033,Chayangtajo,East Kameng,True,0.3175800725734433,0.350594046828467,-0.2782111369804151,-0.2705112462380742,Arunachal Pradesh,Jayang Bagang,52,"{""type"":""Point"",""coordinates"":[93.17910128491276,27.754738095952646]}"
00000000000000000034,Chayangtajo,East Kameng,True,0.2810210806878901,0.333282461937736,-0.2494092878497464,-0.2308393105867792,Arunachal Pradesh,Kesse Bagang,53,"{""type"":""Point"",""coordinates"":[93.20344797666458,27.780930855540586]}"
00000000000000000035,Chayangtajo,East Kameng,True,0.2439606558108383,0.338889203783133,-0.3332605089043837,-0.2848924114175341,Arunachal Pradesh,Langchu Sullung,54,"{""type"":""Point"",""coordinates"":[92.93551397166617,27.7569542691762]}"
00000000000000000036,Chayangtajo,East Kameng,True,0.3426085759311051,0.3409214914840686,-0.3359584607804913,-0.2978652528757993,Arunachal Pradesh,Nampe Bagang,55,"{""type"":""Point"",""coordinates"":[93.0313043804963,27.714062176143116]}"
00000000000000000037,Chayangtajo,East Kameng,True,0.3070285870529761,0.3194357850702939,-0.3308556613371741,-0.3223239146464075,Arunachal Pradesh,Raro Sullung,56,"{""type"":""Point"",""coordinates"":[93.07173504974789,27.689006487323798]}"
00000000000000000038,Chayangtajo,East Kameng,True,0.3068991773096579,0.3223363103877221,-0.2561689114459539,-0.2102375640235611,Arunachal Pradesh,Tamsang Yangfo,57,"{""type"":""Point"",""coordinates"":[93.09178762718524,27.676097389774075]}"
00000000000000000039,Chayangtajo,East Kameng,True,0.261796609897398,0.331798499586892,-0.3012337564337287,-0.2609748001213012,Arunachal Pradesh,Warriam Sullung,58,"{""type"":""Point"",""coordinates"":[92.98025659163645,27.727943357722484]}"
0000000000000000003a,Khenewa,East Kameng,True,0.2814541579222095,0.2810124362298268,-0.3130213904853479,-0.2965583315768013,Arunachal Pradesh,Wallong,59,"{""type"":""Point"",""coordinates"":[92.96858712417958,27.653066132833022]}"
