village_id,village,district,block,state,is_core_sample,latitude,longitude,built_before,built_after,built_before_image_count,built_after_image_count
97,Dape,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.0305059,93.4762607,0.03393517133889652,0.0459010010594919,24,43
98,Dare,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.040746,93.4566336,0.04558642387036553,0.04986888030637831,24,43
99,Geyang,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.032302,93.4718342,0.04827445038312866,0.08237808059474197,24,43
100,Gonang,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,27.9884834,93.5169908,0.14683307423284406,0.16041891681502285,53,65
101,Nyokuriang,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.0062351,93.5622034,0.05086172603204769,0.06692279939434127,53,65
102,Pachang,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.0250521,93.4720132,0.03762403220015671,0.05397303894986024,53,65
103,Pado I,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,27.9756026,93.5757879,0.04207038094465826,0.047217750224813344,53,65
104,Pagam,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.049312,93.4584998,0.032916207833368245,0.03830195671559986,24,43
105,Pape,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.0129617,93.4902587,0.04329948110820778,0.0532178815765793,53,65
106,Pariang,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.0328165,93.4803814,0.03181504217645051,0.035165019315278,24,43
107,Passik,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.0360017,93.4705453,0.04098125421990997,0.06380096526335705,24,43
108,Pilop,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.004125,93.5674707,0.03651879011481309,0.04700952382972673,53,65
109,Rashik,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.0080613,93.5508476,0.03394659271376657,0.0386884015248693,53,65
110,Yarba-I,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,27.96349,93.5654022,0.046587119586780766,0.044496440885971864,53,65
