village_id,village,district,block,state,is_core_sample,latitude,longitude,ndbi_before,ndbi_after,ndbi_before_image_count,ndbi_after_image_count,lights_before,lights_after,lights_before_image_count,lights_after_image_count
22,Samdul,Anjaw,Walong,Arunachal Pradesh,True,27.8858936,96.9223997,-0.22191009698799632,-0.20217113225376157,24,29,0.25170656669478375,0.25328786402343373,4,4
23,Supkung,Anjaw,Walong,Arunachal Pradesh,True,28.1588813,97.0363709,-0.16363896518075088,-0.19008407652265644,48,58,0.301599998825954,0.29876388298554557,4,4
24,Walong,Anjaw,Walong,Arunachal Pradesh,True,28.1294938,97.0166444,-0.15975450862531015,-0.18284906821887909,48,58,0.5423248588193745,1.1578975618134149,4,4
25,Yakung,Anjaw,Walong,Arunachal Pradesh,True,28.1997526,97.0263468,-0.17635198592145956,-0.19425499518042888,48,58,0.26605387520737134,0.20343584860076308,4,4
26,Achali,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.8429461,95.9704783,-0.2132970611289018,-0.23486288694219412,196,236,0.38630091431366176,0.2516029335374678,4,4
27,Achengo,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.8238506,95.9428387,-0.19166567007088084,-0.20552115306428637,196,236,0.3759423478520961,0.23506513313119795,4,4
28,Acheso,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.9263772,95.97448,-0.2281374828147307,-0.26701758067124737,98,118,0.3591508149755602,0.05641990653535765,4,4
29,Alinye,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.8346828,95.9628967,-0.18562980670405016,-0.20918869096553003,196,236,0.415468665700733,0.22947818527747954,4,4
30,Angrim Valley,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.8842816,95.9786208,-0.21976701931355339,-0.2609987915321271,196,236,0.3788490157791372,0.10506762357198862,4,4
31,Aropo,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.8230901,95.9397069,-0.19191760846853792,-0.20532960388195476,196,236,0.3752029807659448,0.22888566742480637,4,4
32,Atoto,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.8355826,95.9647411,-0.19114138739389033,-0.21337950129126196,196,236,0.41092287664663035,0.2402603129284496,4,4
33,Echito,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.9291593,95.9752771,-0.22829474520571053,-0.26827170976547626,98,118,0.3593562167227219,0.03197684047806845,4,4
34,Ediya,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.9638191,95.8076515,-0.23185869144024832,-0.2195578434483183,49,59,0.394111771378851,0.24298580498111153,4,4
35,Emuli,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.8871158,95.8356573,-0.26751647903744596,-0.22904375441894362,98,118,0.3548930411530633,0.18190725790987086,4,4
36,Gipulin,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.8479222,95.9666253,-0.2055923543995126,-0.23674254410667706,196,236,0.39444975078039923,0.23081464690268705,4,4
37,Kamuyi,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.9926912,95.8050502,-0.25611524401351465,-0.2564132436478386,49,59,0.3857712952236777,0.1313482209524488,4,4
38,Mipi H.Q.,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.9641685,95.8081308,-0.23161518949022764,-0.21894956889216943,49,59,0.3946527406598034,0.2455776149997674,4,4
39,Mipido,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.950424,95.8144355,-0.21605885564824465,-0.23290042219233448,49,59,0.4021983500600847,0.17738016357968667,4,4
40,Etalin Bridge Point,Dibang Valley,Etalin-Malinye,Arunachal Pradesh,True,28.6094048,95.8703668,-0.21505014031939235,-0.25143588998123184,50,59,0.3330599471178116,0.29611990342132266,4,4
41,Maliney,Dibang Valley,Etalin-Malinye,Arunachal Pradesh,True,28.6750197,96.1532235,-0.20863143423911215,-0.23915210746062157,51,60,0.3678361531816958,0.15356043677251358,4,4
42,Mawali,Dibang Valley,Etalin-Malinye,Arunachal Pradesh,True,28.6599698,96.0170217,-0.22327790193040234,-0.2514112167605433,100,118,0.3735047103692581,0.14888442321546264,4,4
43,Punli,Dibang Valley,Etalin-Malinye,Arunachal Pradesh,True,28.6565904,95.8520788,-0.2222547486589368,-0.2558025144370385,50,59,0.38291978158095974,0.18939664729928396,4,4
44,Lengdi/Liang,East Kameng,Bameng,Arunachal Pradesh,True,27.5376292,92.923885,-0.26247627237393,-0.27157728856444147,49,60,0.40636694697605796,0.29202380364014663,4,4
45,Upper Liyak,East Kameng,Bameng,Arunachal Pradesh,True,27.5337804,92.8465101,-0.2455830441494092,-0.24720198989705042,49,60,0.40996294838670116,0.27353816721963403,4,4
46,Dao,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.7832832,92.9383609,-0.22541468963670222,-0.2459165449163961,49,59,0.3723202390531898,0.23346362987257033,4,4
47,Dara Yangfo,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.732817,93.0487159,-0.2548742772977016,-0.22249799234852508,98,120,0.3500872412784881,0.26841149702543393,4,4
48,Lamrah,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.6967225,93.0373888,-0.2211433714586278,-0.22803645683072157,98,120,0.346036382353934,0.3119487055778038,4,4
49,Loto Yangfo,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.7296573,93.059293,-0.24721439661813135,-0.21884651306230818,98,120,0.3566135790934939,0.2720089382501113,4,4
50,Diya Sullung,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.7760452,93.0124888,-0.2398562074186015,-0.2638390242447283,98,120,0.398914014482751,0.19124232166010463,4,4
51,Hara Yangfo,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.751648,93.1327809,-0.28033296441692046,-0.2904547990946054,49,61,0.3326045713417037,0.3069352970250279,4,4
52,Jayang Bagang,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.7547367,93.1791026,-0.26325471826279745,-0.25876500716196393,49,61,0.3888240638826732,0.3080380112932274,4,4
