village_id,village,district,block,state,is_core_sample,latitude,longitude,ndbi_before,ndbi_after,ndbi_before_image_count,ndbi_after_image_count,lights_before,lights_after,lights_before_image_count,lights_after_image_count
46,Dao,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.7832832,92.9383609,-0.20864058563310764,-0.24575931443101343,49,59,0.35786344721453833,0.19475771808414208,4,4
47,Dara Yangfo,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.732817,93.0487159,-0.262045936748671,-0.2055982941646397,98,120,0.3118584166585872,0.2457079610465902,4,4
48,Lamrah,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.6967225,93.0373888,-0.22558787943241254,-0.18133585551365067,98,120,0.32866229273770986,0.278717100097422,4,4
49,Loto Yangfo,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.7296573,93.059293,-0.24315002825047557,-0.2128524067820914,98,120,0.37550903634248284,0.26366515396946694,4,4
50,Diya Sullung,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.7760452,93.0124888,-0.25539789375447486,-0.2869935288703625,98,120,0.41125555435816447,0.19213333110014597,4,4
51,Hara Yangfo,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.751648,93.1327809,-0.2602249593354577,-0.24268298751404901,49,61,0.3581222157345878,0.32054443584548103,4,4
52,Jayang Bagang,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.7547367,93.1791026,-0.23217806966036394,-0.2282031429797164,49,61,0.39765624861632076,0.2654464234198843,4,4
53,Kesse Bagang,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.7809294,93.2034502,-0.2281440811311628,-0.22127305192077962,49,61,0.3675553247464442,0.3149336195361298,4,4
54,Langchu Sullung,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.7569534,92.9355132,-0.26336350305711675,-0.2350437456190546,49,59,0.3886333428488838,0.14843333449628618,4,4
55,Nampe Bagang,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.7140627,93.0313033,-0.24989523066619848,-0.24273335160623663,98,120,0.38246680901641333,0.31804202905798384,4,4
56,Raro Sullung,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.6890058,93.0717372,-0.2544229403108897,-0.22867065507778814,98,120,0.434333336353302,0.3408333361148834,4,4
57,Tamsang Yangfo,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.6760974,93.0917894,-0.2336382286473599,-0.278795437728206,98,120,0.3991000028451285,0.315822229385376,4,4
58,Warriam Sullung,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.7279436,92.9802579,-0.19828938131290388,-0.2013684579870243,49,59,0.39161290235233753,0.27437788378533134,4,4
59,Wallong,East Kameng,Khenewa,Arunachal Pradesh,True,27.6530641,92.9685879,-0.24250387284860553,-0.26368384375253745,49,60,0.29876667446560334,0.23947778781255089,4,4
60,Chate,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1191826,93.3236259,-0.28637992590574257,-0.2348586055998404,49,60,0.3603653118490628,0.21808219262181897,4,4
61,Chulla,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1242982,93.411274,-0.27182718061607963,-0.26895650943397204,49,60,0.43266202688769057,0.11795138860880226,4,4
62,Damin H.Q.,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1041982,93.3343841,-0.17954022134724643,-0.1419707345931788,49,60,0.35961282938982536,0.3262499996782404,4,4
63,Damin Village,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1050092,93.3443566,-0.2262717508261699,-0.2608237230358989,49,60,0.29902655123609356,0.24169247162289326,4,4
64,Digok,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1272533,93.3496878,-0.2632869298577853,-0.24099011993194727,49,60,0.3352876062941762,0.21210177420778611,4,4
65,Fuba,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1198537,93.3376816,-0.28193105775696414,-0.2535620576798049,49,60,0.4701470750219682,0.1619343879670579,4,4
66,Huri,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1095105,93.3045975,-0.23094230750013958,-0.19792490415316108,49,60,0.37323009084283776,0.2638163741974704,4,4
67,Katuk,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1189094,93.2501395,-0.2684070857167921,-0.19262469091053042,49,60,0.4005176095447876,0.2963326000957237,4,4
68,Kopila,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1092251,93.3088818,-0.2483312072110124,-0.21537820843993258,49,60,0.3792937127998592,0.33139013228395064,4,4
69,Machang,Kurung Kumey,Damin,Arunachal Pradesh,True,28.0962492,93.3005705,-0.2617975103004786,-0.2387906181492041,49,60,0.3696100968833363,0.30337156423734957,4,4
70,Nisuk,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1081822,93.414929,-0.29196470345558145,-0.24352400146946296,49,60,0.38748893656034383,0.19192477691490037,4,4
71,Pipa,Kurung Kumey,Damin,Arunachal Pradesh,True,28.0735847,93.283149,-0.262120422255537,-0.2509429484348593,49,60,0.38944444219271346,0.2904555481010014,4,4
72,Ramu,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1084035,93.4191096,-0.3213639247791366,-0.19414239165504024,49,60,0.3764491102336783,0.24061946359883374,4,4
73,Rane,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1440384,93.3476122,-0.2803325265433281,-0.29364805520204806,49,60,0.34180494087159363,0.2216591949954696,4,4
74,Rawiok,Kurung Kumey,Damin,Arunachal Pradesh,True,28.137739,93.3249207,-0.27724812458909376,-0.2672335284065846,49,60,0.40376728347369606,0.2474654402051653,4,4
75,Ruba,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1221707,93.2334312,-0.26672916694375026,-0.2613222796424437,49,60,0.4283555470572577,0.23029999825689526,4,4
76,Senamriang,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1320477,93.3191302,-0.27684440057663695,-0.26496388966670403,49,60,0.3975672663060004,0.1931278024019147,4,4
77,Sibia,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1070207,93.3012679,-0.282109098739216,-0.23366900523447007,49,60,0.3919666753874884,0.2770111012458801,4,4
