system:index,after_image_count,before_image_count,block,district,is_core_sample,lights_after,lights_before,ndbi_after,ndbi_before,state,village,village_id,.geo,latitude,longitude,ndbi_before_image_count,ndbi_after_image_count,lights_before_image_count,lights_after_image_count
0000000000000000003d,2,1,Damin,Kurung Kumey,True,0.3111594198572729,0.35358695554626957,-0.20977799755222454,-0.23691933551895447,Arunachal Pradesh,Damin H.Q.,62,"{""type"":""Point"",""coordinates"":[93.33438501999797,28.1041978455112]}",28.1041982,93.3343841,49,60,4,4
0000000000000000003e,2,1,Damin,Kurung Kumey,True,0.23102826483035566,0.33102826992186113,-0.2731733269846547,-0.24952291103839797,Arunachal Pradesh,Damin Village,63,"{""type"":""Point"",""coordinates"":[93.34435556995346,28.10500940190293]}",28.1050092,93.3443566,49,60,4,4
0000000000000000003f,2,1,Damin,Kurung Kumey,True,0.19631813310741453,0.34984705342731975,-0.25406668261631726,-0.26571181836711544,Arunachal Pradesh,Digok,64,"{""type"":""Point"",""coordinates"":[93.34968865481338,28.127251397957515]}",28.1272533,93.3496878,49,60,4,4
00000000000000000040,2,1,Damin,Kurung Kumey,True,0.17651625483760383,0.4310930607163852,-0.25771363346694054,-0.2946788569751516,Arunachal Pradesh,Fuba,65,"{""type"":""Point"",""coordinates"":[93.33768029567646,28.11985374930985]}",28.1198537,93.3376816,49,60,4,4
00000000000000000041,2,1,Damin,Kurung Kumey,True,0.26915371816576383,0.3779439510039563,-0.2327977944748027,-0.27185308149765036,Arunachal Pradesh,Huri,66,"{""type"":""Point"",""coordinates"":[93.30459822496094,28.109508634865858]}",28.1095105,93.3045975,49,60,4,4
00000000000000000042,2,1,Damin,Kurung Kumey,True,0.2947151544874749,0.40399612169877624,-0.22596084333323105,-0.2639251515045057,Arunachal Pradesh,Katuk,67,"{""type"":""Point"",""coordinates"":[93.2501392237952,28.118908419886516]}",28.1189094,93.2501395,49,60,4,4
00000000000000000043,2,1,Damin,Kurung Kumey,True,0.2999525131127022,0.37668714746416626,-0.2222808195792703,-0.24922852991340436,Arunachal Pradesh,Kopila,68,"{""type"":""Point"",""coordinates"":[93.30888342107332,28.10922325239843]}",28.1092251,93.3088818,49,60,4,4
00000000000000000044,2,1,Damin,Kurung Kumey,True,0.28917789196660354,0.37774691336885446,-0.2643875681942141,-0.27293962712622133,Arunachal Pradesh,Machang,69,"{""type"":""Point"",""coordinates"":[93.30057165670968,28.096247268332903]}",28.0962492,93.3005705,49,60,4,4
00000000000000000045,2,1,Damin,Kurung Kumey,True,0.20134294941012523,0.3866759134450314,-0.24568730079249843,-0.30023740998465226,Arunachal Pradesh,Nisuk,70,"{""type"":""Point"",""coordinates"":[93.41492976232635,28.108184281852985]}",28.1081822,93.414929,49,60,4,4
00000000000000000046,2,1,Damin,Kurung Kumey,True,0.24565132228273512,0.4006845903502335,-0.24766281497437767,-0.24937879599662482,Arunachal Pradesh,Pipa,71,"{""type"":""Point"",""coordinates"":[93.28314994889386,28.073586116779296]}",28.0735847,93.283149,49,60,4,4
00000000000000000047,2,1,Damin,Kurung Kumey,True,0.23203939583140126,0.37690343520088276,-0.2281970262245825,-0.3058571747840049,Arunachal Pradesh,Ramu,72,"{""type"":""Point"",""coordinates"":[93.41910794001343,28.1084027778046]}",28.1084035,93.4191096,49,60,4,4
00000000000000000048,2,1,Damin,Kurung Kumey,True,0.22284598472262068,0.34046875735345694,-0.30148511214444906,-0.27832641540399294,Arunachal Pradesh,Rane,73,"{""type"":""Point"",""coordinates"":[93.34761071372247,28.144039913423743]}",28.1440384,93.3476122,49,60,4,4
00000000000000000049,2,1,Damin,Kurung Kumey,True,0.23601070319948433,0.3974014622335499,-0.26857098225316955,-0.2558634123077426,Arunachal Pradesh,Rawiok,74,"{""type"":""Point"",""coordinates"":[93.32492280756254,28.137739203635224]}",28.137739,93.3249207,49,60,4,4
0000000000000000004a,2,1,Damin,Kurung Kumey,True,0.24233574289123314,0.3986414197027551,-0.26966000578064453,-0.27891385629999027,Arunachal Pradesh,Ruba,75,"{""type"":""Point"",""coordinates"":[93.23343097214794,28.12217248185764]}",28.1221707,93.2334312,49,60,4,4
0000000000000000004b,2,1,Damin,Kurung Kumey,True,0.2089022323738929,0.39237150836257295,-0.2661765849147731,-0.2707960836494038,Arunachal Pradesh,Senamriang,76,"{""type"":""Point"",""coordinates"":[93.31913043529411,28.132049390691027]}",28.1320477,93.3191302,49,60,4,4
0000000000000000004c,2,1,Damin,Kurung Kumey,True,0.27808119626809014,0.3906618517153255,-0.24908070440918093,-0.2772284296923675,Arunachal Pradesh,Sibia,77,"{""type"":""Point"",""coordinates"":[93.30126727647401,28.107020456478025]}",28.1070207,93.3012679,49,60,4,4
0000000000000000004d,2,1,Damin,Kurung Kumey,True,0.12326209135646896,0.45310180906637987,-0.28536874650960287,-0.29010590136698217,Arunachal Pradesh,Tarba,78,"{""type"":""Point"",""coordinates"":[93.41954493191666,28.160752624172055]}",28.1607522,93.4195471,49,60,4,4
0000000000000000004e,2,1,Damin,Kurung Kumey,True,0.21410674776519298,0.3956360517283984,-0.25332672134482187,-0.26705702890696537,Arunachal Pradesh,Tokriang,79,"{""type"":""Point"",""coordinates"":[93.33119676274474,28.111073779335616]}",28.1110736,93.3311986,49,60,4,4
0000000000000000004f,2,1,Damin,Kurung Kumey,True,0.21539210069829287,0.36908231302681443,-0.2773939528615005,-0.26425275120059744,Arunachal Pradesh,Yaso,80,"{""type"":""Point"",""coordinates"":[93.34733870855821,28.10027383658416]}",28.1002726,93.3473375,49,60,4,4
00000000000000000050,4,3,Koloriang,Kurung Kumey,True,0.3551237349166913,0.27795556774289587,-0.3068955457234833,-0.2739870490840717,Arunachal Pradesh,Buhan,81,"{""type"":""Point"",""coordinates"":[93.28314994889386,27.88954563900042]}",27.8895447,93.283152,49,61,4,4
00000000000000000051,6,4,Koloriang,Kurung Kumey,True,0.3117527675628662,0.32140555173158647,-0.25040795477896877,-0.279253373974743,Arunachal Pradesh,Buyang,82,"{""type"":""Point"",""coordinates"":[93.2861152510944,27.941993585591053]}",27.9419935,93.286116,98,121,4,4
00000000000000000052,6,4,Koloriang,Kurung Kumey,True,0.3117527675628662,0.32140555173158647,-0.25040795477896877,-0.279253373974743,Arunachal Pradesh,Buyang-II,83,"{""type"":""Point"",""coordinates"":[93.2861152510944,27.941993585591053]}",27.9419935,93.286116,98,121,4,4
00000000000000000053,4,3,Koloriang,Kurung Kumey,True,0.3939705828450761,0.34945060575709624,-0.24800455132048152,-0.2535542273581768,Arunachal Pradesh,Chello,84,"{""type"":""Point"",""coordinates"":[93.2916445364007,27.884921551208006]}",27.8849215,93.291646,49,61,4,4
00000000000000000054,6,4,Koloriang,Kurung Kumey,True,0.45556477873956375,0.3370155055789589,-0.27018805628608816,-0.2846069917358205,Arunachal Pradesh,Chimpu,85,"{""type"":""Point"",""coordinates"":[93.25662721582796,27.95224059981187]}",27.9522411,93.2566277,98,121,4,4
00000000000000000055,6,4,Koloriang,Kurung Kumey,True,0.3786792397234468,0.34701720690489074,-0.2688525874207804,-0.29436118945262935,Arunachal Pradesh,Chomi,86,"{""type"":""Point"",""coordinates"":[93.25954792701798,27.955674107623025]}",27.955673,93.2595487,98,121,4,4
