village_id,village,district,block,state,is_core_sample,latitude,longitude,distance_to_border_km,village_source,district_verified,ndbi_before,ndbi_after,ndbi_before_image_count,ndbi_after_image_count,lights_before,lights_after,lights_before_image_count,lights_after_image_count
80,阿普衣,Dibang Valley,Unknown,Arunachal Pradesh,True,29.0043871,95.9701987,20.633256790633148,control (non-VVP),True,-0.24677518394801673,-0.23761130408479403,98,118,0.37169045559922903,0.025894620301432983,4,4
81,Dambuen,Dibang Valley,Unknown,Arunachal Pradesh,True,28.931081,95.9752764,21.74253755638121,control (non-VVP),True,-0.20956741480842203,-0.24435181871078324,98,118,0.3478779362604306,0,4,4
82,Basam,Dibang Valley,Unknown,Arunachal Pradesh,True,29.0406371,95.8135986,22.36752709594037,control (non-VVP),True,-0.26319412562974837,-0.22231141341947747,49,59,0.3867211690102343,0.1911668606317228,4,4
83,Angrim Valley Village,Dibang Valley,Unknown,Arunachal Pradesh,True,28.8842816,95.9786208,22.64114366247348,control (non-VVP),True,-0.2131769726410399,-0.2481724525781447,196,236,0.39318481284399637,0.11742574262573119,4,4
84,Rilley,Dibang Valley,Unknown,Arunachal Pradesh,True,28.8599437,95.9809166,23.37321836742668,control (non-VVP),True,-0.21019968837408676,-0.2540773272001797,196,236,0.41418045598018516,0.09567604889932846,4,4
85,dian,Dibang Valley,Unknown,Arunachal Pradesh,True,28.9488654,95.6849583,23.97264965424124,control (non-VVP),True,-0.31791932170236487,-0.2693912137419192,49,59,0.35398015455479387,0.07745589927463178,4,4
86,埃巴尼,Dibang Valley,Unknown,Arunachal Pradesh,True,29.0173756,95.8081057,24.572895465981283,control (non-VVP),True,-0.23559673828725625,-0.24920427629767347,49,59,0.3644593799349767,0.11480790538596794,4,4
87,Atalin,Dibang Valley,Unknown,Arunachal Pradesh,True,28.8368966,95.9659782,25.849558886793456,control (non-VVP),True,-0.18551362406160926,-0.20140228841898217,196,236,0.4166022141335419,0.26451932473406614,4,4
88,Ahunli,Dibang Valley,Unknown,Arunachal Pradesh,True,28.8345474,95.9597204,26.52908197473543,control (non-VVP),True,-0.16564698167303543,-0.18250367131680997,196,236,0.4592793344785381,0.23369832796424458,4,4
89,Abali,Dibang Valley,Unknown,Arunachal Pradesh,True,28.99724,95.8076255,26.697170154273167,control (non-VVP),True,-0.24767743177499693,-0.2346808532108439,49,59,0.37370299083073577,0.10785674672178198,4,4
90,Beyanli,Dibang Valley,Unknown,Arunachal Pradesh,True,28.9959135,95.8079275,26.84930056070039,control (non-VVP),True,-0.24890319630761626,-0.23381239899541262,49,59,0.3754139276580851,0.10662828891930219,4,4
91,Awalin,Dibang Valley,Unknown,Arunachal Pradesh,True,28.7056681,96.1699665,26.92277974809336,control (non-VVP),True,-0.23995798244025382,-0.2214247295444327,48,57,0.4065264029340251,0.1673404863319381,4,4
92,Singo,Dibang Valley,Unknown,Arunachal Pradesh,True,28.8257925,95.9457494,28.230304379832862,control (non-VVP),True,-0.18134746155199116,-0.1896229998228776,196,236,0.4024752470919795,0.25482673075857476,4,4
