village_id,village,district,block,state,is_core_sample,latitude,longitude,distance_to_border_km,village_source,district_verified
80,阿普衣,Dibang Valley,Unknown,Arunachal Pradesh,True,29.0043871,95.9701987,20.633256790633148,control (non-VVP),True
81,Dambuen,Dibang Valley,Unknown,Arunachal Pradesh,True,28.931081,95.9752764,21.74253755638121,control (non-VVP),True
82,Basam,Dibang Valley,Unknown,Arunachal Pradesh,True,29.0406371,95.8135986,22.367527095940375,control (non-VVP),True
83,Angrim Valley Village,Dibang Valley,Unknown,Arunachal Pradesh,True,28.8842816,95.9786208,22.641143662473482,control (non-VVP),True
84,Rilley,Dibang Valley,Unknown,Arunachal Pradesh,True,28.8599437,95.9809166,23.37321836742668,control (non-VVP),True
85,dian,Dibang Valley,Unknown,Arunachal Pradesh,True,28.9488654,95.6849583,23.972649654241238,control (non-VVP),True
86,埃巴尼,Dibang Valley,Unknown,Arunachal Pradesh,True,29.0173756,95.8081057,24.572895465981283,control (non-VVP),True
87,Atalin,Dibang Valley,Unknown,Arunachal Pradesh,True,28.8368966,95.9659782,25.849558886793456,control (non-VVP),True
88,Ahunli,Dibang Valley,Unknown,Arunachal Pradesh,True,28.8345474,95.9597204,26.52908197473543,control (non-VVP),True
89,Abali,Dibang Valley,Unknown,Arunachal Pradesh,True,28.99724,95.8076255,26.697170154273167,control (non-VVP),True
90,Beyanli,Dibang Valley,Unknown,Arunachal Pradesh,True,28.9959135,95.8079275,26.84930056070039,control (non-VVP),True
91,Awalin,Dibang Valley,Unknown,Arunachal Pradesh,True,28.7056681,96.1699665,26.92277974809336,control (non-VVP),True
92,Singo,Dibang Valley,Unknown,Arunachal Pradesh,True,28.8257925,95.9457494,28.230304379832862,control (non-VVP),True
93,Malinye,Dibang Valley,Unknown,Arunachal Pradesh,True,28.6750197,96.1532235,28.30539834121112,control (non-VVP),True
94,Mihundo,Dibang Valley,Unknown,Arunachal Pradesh,True,28.829056,95.9393137,28.63456657099252,control (non-VVP),True
95,Akolin,Dibang Valley,Unknown,Arunachal Pradesh,True,28.8236778,95.9416852,28.7025968619355,control (non-VVP),True
96,Ayongo,Dibang Valley,Unknown,Arunachal Pradesh,True,28.8230669,95.9418373,28.721637456999456,control (non-VVP),True
97,Ahunli,Dibang Valley,Unknown,Arunachal Pradesh,True,28.8140704,95.9419262,29.207691783496173,control (non-VVP),True
98,Angulin,Dibang Valley,Unknown,Arunachal Pradesh,True,28.9748478,95.8112262,29.219148052304423,control (non-VVP),True
99,Makuni,Dibang Valley,Unknown,Arunachal Pradesh,True,28.8221427,95.9310087,29.73185832769066,control (non-VVP),True
100,Etabe,Dibang Valley,Unknown,Arunachal Pradesh,True,28.8079186,95.9351971,30.141389334028432,control (non-VVP),True
101,Baro,Dibang Valley,Unknown,Arunachal Pradesh,True,28.7934003,95.9284162,31.57913667847971,control (non-VVP),True
102,Apanli,Dibang Valley,Unknown,Arunachal Pradesh,True,28.6700204,96.1056557,31.666081809402932,control (non-VVP),True
103,Larango,Dibang Valley,Unknown,Arunachal Pradesh,True,28.7880718,95.918821,32.715599618721676,control (non-VVP),True
104,Brango,Dibang Valley,Unknown,Arunachal Pradesh,True,28.9405604,95.8173923,33.115232581316185,control (non-VVP),True
105,Amuli,Dibang Valley,Unknown,Arunachal Pradesh,True,28.7875753,95.9141519,33.14199958509013,control (non-VVP),True
106,Akunli,Dibang Valley,Unknown,Arunachal Pradesh,True,28.8111887,95.8962517,33.401423327619106,control (non-VVP),True
107,Karu,Dibang Valley,Unknown,Arunachal Pradesh,True,28.8049354,95.8992688,33.455276740775716,control (non-VVP),True
108,Tanga II,Dibang Valley,Unknown,Arunachal Pradesh,True,28.8136293,95.893295,33.54569889448366,control (non-VVP),True
109,Akhunli,Dibang Valley,Unknown,Arunachal Pradesh,True,28.6685127,96.059513,33.88230210366286,control (non-VVP),True
110,Chanli,Dibang Valley,Unknown,Arunachal Pradesh,True,28.6033089,96.0280734,34.00517852179684,control (non-VVP),True
111,Maro,Dibang Valley,Unknown,Arunachal Pradesh,True,28.8314281,95.8735957,34.54905619914438,control (non-VVP),True
112,Tapo,Dibang Valley,Unknown,Arunachal Pradesh,True,28.8150846,95.8784431,34.8231650357766,control (non-VVP),True
113,Amboli,Dibang Valley,Unknown,Arunachal Pradesh,True,28.7782095,95.9006268,34.85590058999098,control (non-VVP),True
114,Charkilo,Dibang Valley,Unknown,Arunachal Pradesh,True,28.8156575,95.8773093,34.899804844874176,control (non-VVP),True
115,Maroli,Dibang Valley,Unknown,Arunachal Pradesh,True,28.8551403,95.8604802,34.92281136175568,control (non-VVP),True
116,Angulin,Dibang Valley,Unknown,Arunachal Pradesh,True,28.7972034,95.8857247,35.06554769194197,control (non-VVP),True
117,Emoli,Dibang Valley,Unknown,Arunachal Pradesh,True,28.8871158,95.8356573,36.47291914494567,control (non-VVP),True
118,Athunli,Dibang Valley,Unknown,Arunachal Pradesh,True,28.6575175,96.0218393,36.66333800978367,control (non-VVP),True
119,Anose,Dibang Valley,Unknown,Arunachal Pradesh,True,28.6322763,96.0147489,36.71034814498758,control (non-VVP),True
120,恰帕,Dibang Valley,Unknown,Arunachal Pradesh,True,28.6587596,96.0107761,37.07889339981312,control (non-VVP),True
121,Ilupu,Dibang Valley,Unknown,Arunachal Pradesh,True,28.7766747,95.8707591,37.508495418384705,control (non-VVP),True
122,Aruko,Dibang Valley,Unknown,Arunachal Pradesh,True,28.6365123,96.0073067,37.59654195729976,control (non-VVP),True
